PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
3,13.88,13.88,5,14.11,14.11,4,14.01,14.01,1,13.80,13.80,2,13.81,13.81
2,10.00,23.88,5,10.03,24.14,4,10.02,24.03,3,10.10,23.90,1,9.96,23.77
2,9.97,33.85,5,10.01,34.15,4,10.00,34.03,3,10.04,33.94,1,9.99,33.76
1,9.91,43.76,5,9.98,44.13,4,10.01,44.04,3,10.00,43.94,1,10.00,43.76
1,9.60,53.36,5,9.60,53.73,4,9.57,53.61,3,9.62,53.56,2,9.69,53.45
1,9.62,1:02.98,5,9.74,1:03.47,4,9.73,1:03.34,3,9.64,1:03.20,2,9.66,1:03.11
1,9.63,1:12.61,5,9.71,1:13.18,4,9.56,1:12.90,3,9.60,1:12.80,2,9.61,1:12.72
1,9.68,1:22.29,5,9.92,1:23.10,4,9.78,1:22.68,3,9.73,1:22.53,2,9.67,1:22.39
1,9.72,1:32.01,5,10.31,1:33.41,4,9.67,1:32.35,3,9.69,1:32.22,2,9.75,1:32.14
