Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME
1,8.84,8.84,3,9.05,9.05,4,9.12,9.12,2,9.00,9.00,5,9.34,9.34
1,12.23,21.07,2,12.06,21.11,4,12.08,21.20,3,12.12,21.12,5,11.90,21.24
3,10.95,32.02,5,11.13,32.24,1,10.48,31.68,4,10.98,32.10,2,10.63,31.87
4,10.91,42.93,5,10.93,43.17,1,11.02,42.70,3,10.81,42.91,2,10.94,42.81
2,10.98,53.91,5,11.11,54.28,1,11.07,53.77,4,11.19,54.10,3,11.11,53.92
4,11.50,1:05.41,5,11.21,1:05.49,1,11.45,1:05.22,2,11.22,1:05.32,3,11.48,1:05.40
4,10.37,1:15.78,2,10.06,1:15.55,3,10.50,1:15.72,1,10.11,1:15.43,5,10.52,1:15.92
5,10.25,1:26.03,4,10.40,1:25.95,2,10.15,1:25.87,1,10.39,1:25.82,3,10.02,1:25.94
5,9.99,1:36.02,2,9.84,1:35.79,4,10.09,1:35.96,1,9.90,1:35.72,3,9.90,1:35.84
3,9.26,1:45.28,2,9.41,1:45.20,5,9.50,1:45.46,1,9.42,1:45.14,4,9.54,1:45.38
3,9.34,1:54.62,2,9.20,1:54.40,5,9.31,1:54.77,1,9.14,1:54.28,4,9.29,1:54.67
3,9.06,2:03.68,2,9.14,2:03.54,5,9.78,2:04.55,1,9.21,2:03.49,4,9.53,2:04.20
1,9.05,2:12.73,3,9.34,2:12.88,4,9.60,2:14.15,2,9.38,2:12.87,5,10.36,2:14.56
2,9.38,2:22.105,1,9.06,2:21.934,4,10.01,2:24.155,3,10.01,2:22.872,5,10.79,2:25.341
