Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
2,7.15,7.15,3,7.34,7.34,1,6.93,6.93,4,7.45,7.45
2,9.51,16.66,3,9.35,16.69,1,9.16,16.09,4,9.34,16.79
4,9.24,25.90,2,8.90,25.59,1,8.89,24.98,3,8.88,25.67
4,9.18,35.08,3,8.98,34.57,1,9.10,34.08,2,8.69,34.36
4,9.41,44.490,3,9.34,43.906,2,9.44,43.515,1,8.86,43.219
