Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME
1,14.02,14.02,2,14.13,14.13,3,14.26,14.26,4,14.36,14.36
3,11.07,25.09,2,10.87,25.00,4,10.85,25.11,1,10.51,24.87
4,10.71,35.80,2,10.59,35.59,3,10.59,35.70,1,10.60,35.47
4,10.74,46.54,2,10.84,46.43,3,10.81,46.51,1,10.84,46.31
3,10.19,56.73,4,10.32,56.75,2,10.11,56.62,1,10.08,56.39
2,9.87,1:06.60,4,9.89,1:06.64,3,10.01,1:06.63,1,10.14,1:06.53
2,9.98,1:16.58,3,10.14,1:16.78,4,10.54,1:17.17,1,9.93,1:16.46
2,10.27,1:26.85,3,10.22,1:27.00,4,10.44,1:27.61,1,10.11,1:26.57
2,10.94,1:37.788,0,,PEN,0,,PEN,1,10.55,1:37.114
