SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,ZHANG Chutong POSITION,ZHANG Chutong LAP TIME,ZHANG Chutong ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME
2,14.23,14.23,4,14.48,14.48,1,14.09,14.09,3,14.33,14.33
3,11.07,25.30,1,10.48,24.96,2,11.09,25.18,4,11.08,25.41
3,10.40,35.70,2,10.58,35.54,1,10.32,35.50,4,10.44,35.85
3,10.01,45.71,2,10.15,45.69,1,10.06,45.56,4,10.02,45.87
2,9.94,55.65,3,10.08,55.77,1,9.98,55.54,4,10.04,55.91
2,9.86,1:05.51,3,9.89,1:05.66,1,9.86,1:05.40,4,10.01,1:05.92
2,9.62,1:15.13,3,9.74,1:15.40,1,9.67,1:15.07,4,10.37,1:16.29
2,9.63,1:24.76,3,9.76,1:25.16,1,9.57,1:24.64,4,10.81,1:27.10
2,9.75,1:34.51,3,10.06,1:35.22,1,9.65,1:34.29,4,11.17,1:38.27
