Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME
4,11.09,11.09,3,10.93,10.93,5,11.31,11.31,1,10.63,10.63,2,10.80,10.80
4,15.39,26.48,3,15.42,26.35,5,15.39,26.70,1,15.30,25.93,2,15.32,26.12
4,14.25,40.73,3,14.28,40.63,5,14.14,40.84,1,14.29,40.22,2,14.26,40.38
5,13.26,53.99,4,13.22,53.85,1,12.52,53.36,2,13.23,53.45,3,13.20,53.58
5,11.34,1:05.33,4,11.47,1:05.32,1,11.62,1:04.98,2,11.63,1:05.08,3,11.60,1:05.18
4,11.26,1:16.59,5,11.38,1:16.70,1,11.29,1:16.27,3,11.30,1:16.38,2,11.12,1:16.30
4,10.42,1:27.01,5,10.40,1:27.10,1,10.48,1:26.75,3,10.47,1:26.85,2,10.54,1:26.84
4,9.63,1:36.64,5,9.68,1:36.78,1,9.67,1:36.42,2,9.60,1:36.45,3,9.68,1:36.52
4,9.42,1:46.06,3,9.27,1:46.05,1,9.44,1:45.86,5,9.67,1:46.12,2,9.43,1:45.95
4,9.63,1:55.69,2,9.44,1:55.49,1,9.52,1:55.38,5,9.80,1:55.92,3,9.61,1:55.56
4,9.54,2:05.23,2,9.26,2:04.75,1,9.30,2:04.68,5,9.75,2:05.67,3,9.47,2:05.03
4,9.84,2:15.07,2,9.36,2:14.11,1,9.35,2:14.03,5,10.16,2:15.83,3,9.34,2:14.37
4,10.07,2:25.14,1,9.30,2:23.41,2,9.55,2:23.58,5,10.55,2:26.38,3,9.54,2:23.91
4,10.47,2:35.609,1,9.38,2:32.784,2,9.81,2:33.384,5,10.99,2:37.368,3,10.00,2:33.909
