SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
2,8.74,8.74,3,8.94,8.94,1,8.54,8.54,4,9.06,9.06,5,9.14,9.14
2,12.45,21.19,3,12.37,21.31,1,12.48,21.02,4,12.33,21.39,5,12.35,21.49
2,12.01,33.20,3,12.04,33.35,1,12.03,33.05,4,12.05,33.44,5,12.06,33.55
2,11.86,45.06,3,11.86,45.21,1,11.94,44.99,4,11.90,45.34,5,11.90,45.45
2,11.40,56.46,4,11.48,56.69,3,11.53,56.52,5,11.48,56.82,1,11.00,56.45
2,10.85,1:07.31,4,10.86,1:07.55,3,10.89,1:07.41,5,10.86,1:07.68,1,10.72,1:07.17
3,10.46,1:17.77,1,9.89,1:17.44,5,10.49,1:17.90,4,10.18,1:17.86,2,10.50,1:17.67
4,9.56,1:27.33,1,9.70,1:27.14,5,9.45,1:27.35,3,9.43,1:27.29,2,9.57,1:27.24
5,9.71,1:37.04,1,9.27,1:36.41,4,9.59,1:36.94,2,9.21,1:36.50,3,9.43,1:36.67
5,9.22,1:46.26,1,9.31,1:45.72,4,9.20,1:46.14,2,9.34,1:45.84,3,9.37,1:46.04
4,9.20,1:55.46,1,9.34,1:55.06,3,9.17,1:55.31,2,9.36,1:55.20,5,9.67,1:55.71
4,9.33,2:04.79,1,9.29,2:04.35,2,9.15,2:04.46,3,9.40,2:04.60,5,10.08,2:05.79
4,9.49,2:14.28,1,9.34,2:13.69,2,9.41,2:13.87,3,9.68,2:14.28,5,10.88,2:16.67
3,10.01,2:24.285,1,9.55,2:23.234,2,9.68,2:23.549,4,10.39,2:24.661,5,12.08,2:28.742
