SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Mukerrem DENIZ POSITION,Mukerrem DENIZ LAP TIME,Mukerrem DENIZ ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME
4,9.17,,7,9.33,9.33,6,9.24,9.24,1,9.00,9.00,5,9.18,9.18,1,9.00,9.00,3,9.14,9.14,8,9.34,
6,11.94,,8,11.97,21.30,2,11.51,20.75,3,11.86,20.86,5,11.81,20.99,1,11.66,20.66,4,11.83,20.97,7,11.86,
7,11.19,,8,11.13,32.43,5,11.29,32.04,3,11.01,31.87,1,10.69,31.68,2,11.14,31.80,4,11.00,31.97,6,10.95,
6,10.44,,8,10.51,42.94,3,10.43,42.47,1,10.51,42.38,4,10.82,42.50,2,10.66,42.46,7,10.80,42.77,5,10.50,
6,9.94,,8,10.09,53.03,1,9.84,52.31,2,10.02,52.40,4,10.07,52.57,3,10.05,52.51,5,9.89,52.66,7,10.24,
7,10.16,,8,9.94,1:02.97,4,10.10,1:02.41,1,9.82,1:02.22,3,9.81,1:02.38,2,9.79,1:02.30,5,9.84,1:02.50,6,9.74,
7,9.81,,8,9.75,1:12.72,5,9.98,1:12.39,1,9.85,1:12.07,3,9.89,1:12.27,2,9.88,1:12.18,4,9.84,1:12.34,6,9.90,
6,9.70,,8,9.78,1:22.50,7,10.06,1:22.45,1,9.67,1:21.74,3,9.68,1:21.95,2,9.65,1:21.83,4,9.70,1:22.04,5,9.67,
6,9.29,,7,9.26,1:31.76,8,9.82,1:32.27,1,9.45,1:31.19,3,9.41,1:31.36,2,9.45,1:31.28,4,9.38,1:31.42,5,9.31,
6,9.41,,7,9.42,1:41.18,8,9.42,1:41.69,1,9.32,1:40.51,3,9.33,1:40.69,2,9.29,1:40.57,4,9.38,1:40.80,5,9.44,
5,9.09,,6,9.09,1:50.27,8,9.48,1:51.17,2,9.02,1:49.53,3,9.09,1:49.78,1,8.88,1:49.45,7,9.91,1:50.71,4,9.16,
4,8.88,,5,8.93,1:59.20,7,9.80,2:00.97,2,8.99,1:58.52,3,8.92,1:58.70,1,9.05,1:58.50,8,11.26,2:01.97,6,9.31,
4,9.00,,5,9.03,2:08.23,7,10.20,2:11.17,2,9.29,2:07.81,3,9.24,2:07.94,1,9.23,2:07.73,8,10.99,2:12.96,6,9.45,
8,30.62,,4,9.36,2:17.59,5,11.33,2:22.466,2,9.41,2:17.22,3,9.33,2:17.27,1,9.39,2:17.12,7,10.95,2:23.91,5,9.84,
