Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
3,7.39,7.39,2,7.38,7.38,1,7.34,7.34,4,7.53,7.53
4,9.66,17.05,1,9.46,16.84,2,9.53,16.87,3,9.50,17.03
4,9.17,26.22,1,9.03,25.87,2,9.14,26.01,3,9.08,26.11
3,8.91,35.13,1,9.11,34.98,2,9.02,35.03,4,9.08,35.19
2,9.20,44.321,1,9.28,44.256,3,9.38,44.405,4,9.33,44.513
