Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,WANG Shuang POSITION,WANG Shuang LAP TIME,WANG Shuang ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
0,9.637,9.637,0,9.486,9.486,0,9.930,9.930,0,9.798,9.798,0,9.337,9.337,0,9.161,9.161
0,14.609,24.246,0,14.562,24.048,0,14.573,24.503,0,14.638,24.436,0,14.401,23.737,0,15.252,24.412
0,13.203,37.449,0,13.141,37.188,0,13.397,37.899,0,13.519,37.955,0,13.698,37.435,0,12.567,36.979
0,10.693,48.142,0,11.155,48.343,0,10.961,48.860,0,11.144,49.099,0,11.185,48.620,0,11.369,48.348
0,11.185,59.327,0,11.123,59.466,0,10.929,59.789,0,10.457,59.556,0,10.986,59.606,0,10.936,59.284
0,10.291,1:09.618,0,10.189,1:09.655,0,10.309,1:10.098,0,9.658,1:09.214,0,10.378,1:09.984,0,10.513,1:09.797
0,9.757,1:19.375,0,9.849,1:19.504,0,9.401,1:19.499,0,9.894,1:19.107,0,9.268,1:19.252,0,9.820,1:19.617
0,9.823,1:29.198,0,9.747,1:29.250,0,10.031,1:29.530,0,9.883,1:28.990,0,10.258,1:29.509,0,9.272,1:28.888
0,9.577,1:38.775,0,9.666,1:38.916,0,9.935,1:39.465,0,9.626,1:38.616,0,9.852,1:39.361,0,10.001,1:38.890
0,9.620,1:48.395,0,9.508,1:48.424,0,9.738,1:49.203,0,9.642,1:48.258,0,10.020,1:49.382,0,9.334,1:48.224
0,10.076,1:58.470,0,10.121,1:58.544,0,9.647,1:58.850,0,9.724,1:57.982,0,10.665,2:00.046,0,33.318,2:21.541
0,10.272,2:08.742,0,10.224,2:08.769,0,9.834,2:08.683,0,9.951,2:07.933,0,11.355,2:11.402,0,20.780,2:42.321
0,10.786,2:19.528,0,10.839,2:19.608,0,9.258,2:17.941,0,10.262,2:18.195,0,11.951,2:23.352,0,16.581,2:58.902
0,,,0,,,0,,,0,,,0,,,0,,
