Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME,DOJKIC Viktor POSITION,DOJKIC Viktor LAP TIME,DOJKIC Viktor ELAPSED TIME,Amir LIGATA POSITION,Amir LIGATA LAP TIME,Amir LIGATA ELAPSED TIME
1,7.076,7.076,2,7.328,7.328,4,8.011,8.011,3,7.926,7.926
1,9.203,16.279,2,9.286,16.614,4,36.877,44.887,3,18.269,26.195
1,9.588,25.866,2,9.300,25.913,4,25.381,1:10.268,3,18.640,44.834
2,17.657,43.523,1,10.188,36.100,4,16.270,1:26.537,3,25.408,1:10.241
2,11.36,54.878,1,10.92,47.018,3,,1:26.537,0,,DQ
