Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
3,13.20,13.20,4,13.37,13.37,5,13.44,13.44,2,13.16,13.16,1,13.12,13.12
2,9.88,23.08,5,9.88,23.25,4,9.74,23.18,1,9.89,23.05,2,9.96,23.08
3,9.39,32.47,4,9.27,32.52,1,9.16,32.34,2,9.33,32.38,5,9.46,32.54
4,9.45,41.92,3,9.27,41.79,1,9.26,41.60,2,9.31,41.69,5,9.51,42.05
4,9.38,51.30,3,9.47,51.26,1,9.46,51.06,2,9.47,51.16,5,9.45,51.50
3,9.37,1:00.67,4,9.53,1:00.79,2,9.50,1:00.56,1,9.34,1:00.50,5,9.39,1:00.89
3,9.53,1:10.20,4,9.52,1:10.31,2,9.57,1:10.13,1,9.48,1:09.98,5,10.00,1:10.89
2,9.71,1:19.91,4,9.76,1:20.07,2,9.78,1:19.91,1,9.85,1:19.83,5,10.57,1:21.46
1,10.06,1:29.97,2,10.05,1:30.12,3,10.30,1:30.21,4,10.66,1:30.49,5,11.85,1:33.31
