SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,TOPOLSKA Gabriela POSITION,TOPOLSKA Gabriela LAP TIME,TOPOLSKA Gabriela ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME
2,9.88,9.88,1,9.84,9.84,3,10.00,10.00,4,10.21,10.21,5,10.46,10.46
1,13.08,22.96,2,13.26,23.10,3,13.22,23.22,4,13.10,23.31,5,12.94,23.40
5,13.41,36.37,2,12.88,35.98,3,12.87,36.09,4,12.90,36.21,1,12.43,35.83
5,11.49,47.86,2,11.52,47.50,3,11.50,47.59,4,11.51,47.72,1,11.48,47.31
5,11.06,58.92,3,11.18,58.68,2,10.89,58.48,4,11.06,58.78,1,11.06,58.37
5,10.45,1:09.37,2,10.30,1:08.98,2,10.50,1:08.98,4,10.38,1:09.16,1,10.51,1:08.88
4,9.72,1:19.09,2,9.92,1:18.90,5,10.15,1:19.13,3,9.84,1:19.00,1,9.89,1:18.77
4,9.83,1:28.92,2,9.80,1:28.70,5,9.90,1:29.03,3,9.78,1:28.78,1,9.82,1:28.59
4,9.57,1:38.49,2,9.57,1:38.27,5,9.55,1:38.58,3,9.58,1:38.36,1,9.54,1:38.13
4,9.46,1:47.95,2,9.46,1:47.73,5,9.45,1:48.03,3,9.41,1:47.77,1,9.48,1:47.61
4,9.42,1:57.37,2,9.21,1:56.94,5,9.50,1:57.53,3,9.41,1:57.18,1,9.13,1:56.74
4,9.42,2:06.79,2,9.10,2:06.04,5,9.53,2:07.06,3,9.14,2:06.32,1,9.06,2:05.80
4,9.59,2:16.38,2,9.22,2:15.26,5,9.79,2:16.85,3,9.29,2:15.61,1,9.20,2:15.00
4,9.87,2:26.25,2,9.51,2:24.77,5,10.29,2:27.14,3,9.57,2:25.18,1,9.44,2:24.44
