Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,SONG Haochen POSITION,SONG Haochen LAP TIME,SONG Haochen ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME
2,12.80,12.80,3,12.92,,1,12.71,12.71,4,13.05,13.05,5,13.17,13.17,6,13.25,13.25
1,10.04,22.84,2,9.96,,3,10.24,22.95,4,9.96,23.01,5,9.96,23.13,6,9.99,23.24
5,9.99,32.83,2,9.70,,6,10.03,32.98,4,9.68,32.69,1,9.41,32.54,3,9.37,32.61
5,9.08,41.91,3,9.10,,6,9.12,42.10,4,9.08,41.77,2,9.03,41.57,1,8.85,41.46
5,8.89,50.80,4,8.95,,6,8.89,50.99,3,8.84,50.61,1,8.89,50.46,2,9.09,50.55
3,8.87,59.67,2,9.01,,5,9.01,1:00.00,6,9.60,1:00.21,1,9.02,59.48,4,9.29,59.84
2,9.01,1:08.68,3,9.10,,5,9.11,1:09.11,5,8.90,1:09.11,1,9.08,1:08.56,4,9.02,1:08.86
2,9.01,1:17.69,3,9.02,,5,9.30,1:18.41,6,9.37,1:18.48,1,9.03,1:17.59,4,9.12,1:17.98
2,9.06,1:26.734,3,9.03,,4,9.55,1:27.929,5,9.65,1:28.100,1,9.06,1:26.619,3,9.52,1:27.474
