Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME
2,13.82,13.82,4,14.09,14.09,1,13.62,13.62,3,13.83,13.83
2,10.56,24.38,4,10.58,24.67,1,10.72,24.34,3,10.68,24.51
2,10.71,35.09,4,10.68,35.36,3,10.76,35.10,1,10.55,35.07
2,10.30,45.40,4,10.39,45.75,1,10.29,45.39,3,10.42,45.49
1,10.54,55.94,4,10.58,56.33,2,10.60,56.00,3,10.60,56.10
1,10.05,1:05.99,4,10.22,1:06.56,3,10.25,1:06.25,2,10.14,1:06.24
1,9.91,1:15.90,4,10.05,1:16.62,2,9.80,1:16.05,3,9.87,1:16.12
1,9.62,1:25.53,4,10.35,1:26.97,3,9.70,1:25.76,2,9.51,1:25.63
1,10.13,1:35.651,4,11.15,1:38.114,2,10.00,1:35.753,3,10.29,1:35.915
