SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME
3,12.67,12.67,4,12.82,12.82,2,12.54,12.54,5,12.86,12.86,1,12.40,12.40
3,9.46,22.13,4,9.45,22.27,2,9.47,22.01,5,9.61,22.47,1,9.44,21.84
2,9.59,31.72,4,9.65,31.92,3,9.83,31.84,5,9.59,32.06,1,9.74,31.58
2,9.40,41.12,4,9.40,41.32,3,9.31,41.15,5,9.43,41.49,1,9.41,40.99
3,9.29,50.41,4,9.26,50.58,2,9.24,50.39,5,9.44,50.93,1,9.35,50.34
3,9.50,59.91,4,9.36,59.94,1,9.16,59.55,5,9.92,1:00.85,2,9.47,59.81
4,9.80,1:09.71,3,9.49,1:09.43,1,9.21,1:08.76,5,10.64,1:11.49,2,9.53,1:09.34
4,9.50,1:19.21,3,9.72,1:19.15,1,9.42,1:18.18,5,11.53,1:23.02,2,9.71,1:19.05
4,9.99,1:29.20,3,9.94,1:29.09,1,10.08,1:28.26,5,11.84,1:34.86,2,9.90,1:28.95
