LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME,Maria ORLOVA POSITION,Maria ORLOVA LAP TIME,Maria ORLOVA ELAPSED TIME,EARLE Marissa POSITION,EARLE Marissa LAP TIME,EARLE Marissa ELAPSED TIME
4,10.417,10.417,6,10.588,10.588,1,10.161,10.161,3,10.299,10.299,2,10.209,10.209,5,10.481,10.481
6,15.147,25.564,1,14.256,24.844,2,14.887,25.048,3,14.967,25.266,4,15.059,25.268,5,14.821,25.302
6,12.921,38.485,2,12.921,37.765,3,12.746,37.794,1,12.460,37.726,4,12.839,38.107,5,12.976,38.277
6,12.223,50.708,2,12.397,50.162,3,12.567,50.360,1,12.376,50.102,5,12.385,50.492,4,12.151,50.429
6,12.523,1:03.231,2,12.563,1:02.725,3,12.632,1:02.992,1,12.557,1:02.659,5,12.601,1:03.093,4,12.638,1:03.066
5,12.906,1:16.137,1,13.107,1:15.831,4,13.128,1:16.120,2,13.199,1:15.857,3,12.977,1:16.071,6,13.157,1:16.223
6,13.549,1:29.686,2,13.205,1:29.036,3,13.011,1:29.131,1,13.032,1:28.890,5,13.384,1:29.455,4,13.215,1:29.438
3,10.506,1:40.192,1,10.829,1:39.866,2,10.931,1:40.062,4,11.507,1:40.396,5,10.988,1:40.442,6,11.227,1:40.664
2,10.423,1:50.615,1,10.426,1:50.292,3,10.578,1:50.640,4,10.461,1:50.858,6,10.431,1:50.873,5,10.200,1:50.864
3,10.765,2:01.379,1,10.787,2:01.079,2,10.667,2:01.306,6,10.765,2:01.622,5,10.680,2:01.553,4,10.574,2:01.438
5,10.718,2:12.097,2,10.750,2:11.829,4,10.766,2:12.072,1,10.159,2:11.781,6,10.854,2:12.406,3,10.553,2:11.991
3,9.866,2:21.963,1,9.868,2:21.697,2,9.699,2:21.771,6,11.689,2:23.470,5,10.799,2:23.205,4,11.025,2:23.016
3,9.947,2:31.909,1,9.997,2:31.694,2,9.975,2:31.746,5,11.143,2:34.614,4,10.441,2:33.646,6,12.114,2:35.130
3,10.011,2:41.920,1,10.192,2:41.886,2,10.162,2:41.908,5,11.589,2:46.203,4,11.311,2:44.957,6,12.226,2:47.356
