Melle van 'T WOUT POSITION,Melle van 'T WOUT LAP TIME,Melle van 'T WOUT ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME
1,6.98,6.98,2,7.13,7.13,3,7.22,7.22,4,7.24,7.24
1,9.08,16.06,2,9.04,16.17,3,9.15,16.37,4,9.62,16.86
1,8.59,24.65,2,8.61,24.78,3,8.58,24.95,4,8.55,25.41
1,8.81,33.46,2,8.79,33.57,3,8.77,33.72,4,8.73,34.14
2,9.33,42.79,1,9.04,42.61,3,9.13,42.85,4,8.91,43.056
