Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME
1,6.727,6.727,2,6.917,6.917,5,7.301,7.301,4,7.208,7.208,3,6.936,6.936
1,9.199,15.926,2,9.118,16.035,5,9.380,16.681,4,9.068,16.275,3,9.223,16.158
2,9.087,25.012,1,8.958,24.992,5,31.297,47.978,4,9.038,25.313,3,9.104,25.262
3,9.303,34.315,1,8.863,33.854,5,15.752,1:03.730,4,9.170,34.483,2,9.027,34.288
4,21.21,55.520,1,9.54,43.387,5,18.14,1:21.867,3,9.70,44.180,2,9.13,43.418
