Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LIN Yu-Cheng POSITION,LIN Yu-Cheng LAP TIME,LIN Yu-Cheng ELAPSED TIME,Alexander BUBNOV POSITION,Alexander BUBNOV LAP TIME,Alexander BUBNOV ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME
1,7.83,7.83,2,7.97,7.97,4,8.18,8.18,5,8.36,8.36,3,8.06,8.06,6,8.48,8.48
1,11.00,18.83,2,10.99,18.96,4,11.00,19.18,5,10.94,19.30,3,10.99,19.05,6,10.91,19.39
1,10.80,29.63,2,10.77,29.73,4,10.79,29.97,5,10.77,30.07,3,10.79,29.84,6,10.78,30.17
1,10.71,40.34,2,10.72,40.45,4,10.66,40.63,5,10.69,40.76,3,10.67,40.51,6,10.71,40.88
1,10.55,50.89,2,10.57,51.02,4,10.61,51.24,5,10.61,51.37,3,10.59,51.10,6,10.60,51.48
1,10.39,1:01.28,2,10.38,1:01.40,4,10.34,1:01.58,5,10.32,1:01.69,3,10.38,1:01.48,6,10.30,1:01.78
1,10.36,1:11.64,2,10.34,1:11.74,4,10.37,1:11.95,5,10.34,1:12.03,3,10.35,1:11.83,6,10.34,1:12.12
1,10.06,1:21.70,2,10.09,1:21.83,4,10.09,1:22.04,5,10.22,1:22.25,3,10.08,1:21.91,6,10.39,1:22.51
1,9.81,1:31.51,2,9.80,1:31.63,4,9.80,1:31.84,5,10.16,1:32.41,3,9.82,1:31.73,6,10.75,1:33.26
1,9.68,1:41.19,2,9.67,1:41.30,3,9.57,1:41.41,5,10.71,1:43.12,4,9.73,1:41.46,6,11.34,1:44.60
1,9.50,1:50.69,2,9.55,1:50.85,3,9.52,1:50.93,5,11.06,1:54.18,4,9.56,1:51.02,6,11.95,1:56.55
1,9.55,2:00.24,2,9.51,2:00.36,3,9.52,2:00.45,5,11.41,2:05.59,4,9.48,2:00.50,6,12.51,2:09.06
1,9.71,2:09.95,3,9.67,2:10.03,2,9.58,2:10.03,5,11.61,2:17.20,4,9.78,2:10.28,6,13.33,2:22.39
1,9.90,2:19.842,3,10.01,2:20.038,2,9.91,2:19.937,5,11.83,2:29.030,4,9.90,2:20.174,6,12.71,2:35.092
