LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
3,13.62,13.62,2,13.47,13.47,1,13.40,13.40,4,13.69,13.69
3,10.67,24.29,1,10.60,24.07,2,10.76,24.16,4,10.68,24.37
3,10.48,34.77,2,10.63,34.70,1,10.47,34.63,4,10.49,34.86
2,9.63,44.40,3,9.82,44.52,1,9.76,44.39,4,9.75,44.61
1,9.54,53.94,3,9.58,54.10,2,9.62,54.01,4,9.61,54.22
1,9.66,1:03.60,3,9.68,1:03.78,2,9.67,1:03.68,4,9.64,1:03.86
2,9.79,1:13.39,3,9.73,1:13.51,1,9.68,1:13.36,4,9.75,1:13.61
3,9.74,1:23.13,2,9.62,1:23.13,1,9.65,1:23.01,4,9.69,1:23.30
3,9.69,1:32.820,2,9.62,1:32.744,1,9.47,1:32.481,4,9.60,1:32.892
