Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,CHO Nam-Kyu POSITION,CHO Nam-Kyu LAP TIME,CHO Nam-Kyu ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
4,12.295,12.295,1,11.875,11.875,3,12.041,12.041,2,12.040,12.040
4,8.966,21.260,1,9.130,21.005,3,9.054,21.095,2,9.013,21.053
4,9.140,30.400,1,9.129,30.133,2,9.097,30.192,3,9.177,30.230
4,9.057,39.457,1,9.170,39.302,3,9.237,39.428,2,9.177,39.407
4,9.291,48.748,3,9.430,48.732,1,9.123,48.550,2,9.214,48.621
3,9.187,57.934,4,9.461,58.193,2,9.186,57.735,1,9.106,57.727
3,9.405,1:07.338,4,9.581,1:07.774,2,9.266,1:07.000,1,9.143,1:06.869
3,9.163,1:16.501,4,10.082,1:17.855,2,9.322,1:16.322,1,9.385,1:16.254
3,9.35,1:25.845,4,11.50,1:29.351,1,9.41,1:25.729,2,9.59,1:25.837
