Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Shuta MATSUZU POSITION,Shuta MATSUZU LAP TIME,Shuta MATSUZU ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME
1,6.88,6.88,3,7.01,7.01,4,7.15,7.15,2,7.00,7.00,5,7.29,7.29
1,8.77,15.65,2,8.83,15.84,3,8.83,15.98,5,9.21,16.21,4,8.82,16.11
2,8.40,24.05,1,8.18,24.02,3,8.20,24.18,5,8.23,24.44,4,8.30,24.41
3,8.61,32.66,1,8.42,32.44,2,8.38,32.56,4,8.35,32.79,5,8.63,33.04
3,8.85,41.518,2,8.70,41.147,1,8.53,41.09,4,8.76,41.552,5,8.65,41.692
