Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,Necmettin Berk YETISKEN POSITION,Necmettin Berk YETISKEN LAP TIME,Necmettin Berk YETISKEN ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME
1,9.38,9.38,4,9.86,9.86,2,9.53,9.53,5,10.03,10.03,3,9.67,9.67
1,11.89,21.27,4,11.83,21.69,2,11.90,21.43,5,11.78,21.81,3,11.87,21.54
1,11.08,32.35,4,10.99,32.68,2,11.05,32.48,5,10.99,32.80,3,11.04,32.58
1,11.28,43.63,4,11.27,43.95,2,11.23,43.71,5,11.28,44.08,3,11.24,43.82
1,11.05,54.68,4,11.06,55.01,2,11.12,54.83,5,11.05,55.13,3,11.12,54.94
1,10.78,1:05.46,3,10.63,1:05.64,2,10.72,1:05.55,5,10.78,1:05.91,4,10.84,1:05.78
1,10.64,1:16.10,3,10.68,1:16.32,2,10.63,1:16.18,5,10.62,1:16.53,4,10.62,1:16.40
1,10.26,1:26.36,3,10.27,1:26.59,2,10.32,1:26.50,5,10.31,1:26.84,4,10.26,1:26.66
1,10.00,1:36.36,3,9.95,1:36.54,2,9.99,1:36.49,5,10.01,1:36.85,4,10.00,1:36.66
1,9.52,1:45.88,2,9.54,1:46.08,3,9.73,1:46.22,5,9.85,1:46.70,4,9.56,1:46.22
1,9.38,1:55.26,2,9.27,1:55.35,3,9.72,1:55.94,5,10.05,1:56.75,4,9.97,1:56.19
1,9.35,2:04.61,2,9.34,2:04.69,3,9.71,2:05.65,5,10.54,2:07.29,4,9.48,2:05.67
1,9.51,2:14.12,2,9.54,2:14.23,4,9.85,2:15.50,5,10.95,2:18.24,3,9.51,2:15.18
1,9.72,2:23.839,2,9.81,2:24.031,0,,PEN,4,11.35,2:29.588,3,9.84,2:25.019
