HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,12.16,12.16,3,12.20,12.20,1,12.07,12.07,5,12.51,12.51,4,12.41,12.41
2,8.98,21.14,1,8.89,21.09,3,9.21,21.28,5,8.93,21.44,4,8.96,21.37
1,8.89,30.03,2,9.01,30.10,3,8.91,30.19,5,8.95,30.39,4,8.92,30.29
1,9.02,39.05,4,9.20,39.30,2,9.01,39.20,5,9.03,39.42,3,8.98,39.27
1,9.04,48.09,4,9.23,48.53,2,9.00,48.20,5,9.27,48.69,3,9.05,48.32
1,8.92,57.01,4,8.84,57.37,2,8.89,57.09,5,8.77,57.46,3,8.89,57.21
1,8.89,1:05.90,5,9.12,1:06.49,2,8.89,1:05.98,4,8.79,1:06.25,3,8.90,1:06.11
1,8.95,1:14.85,5,9.39,1:15.88,2,8.95,1:14.93,4,9.02,1:15.27,3,9.06,1:15.17
1,9.12,1:23.962,5,9.81,1:25.682,2,9.09,1:24.014,4,9.48,1:24.746,3,9.31,1:24.481
