Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
2,13.006,13.006,1,12.698,12.698,4,22.870,22.870,3,13.127,13.127
1,9.859,22.865,0,,,0,,,2,9.773,22.900
1,8.847,31.712,2,,31.994,3,,32.090,4,9.471,32.371
1,9.596,41.309,2,9.383,41.377,3,9.386,41.476,4,9.412,41.783
1,9.491,50.799,3,9.669,51.046,2,9.459,50.935,4,9.564,51.347
1,9.684,1:00.483,3,9.662,1:00.707,2,9.566,1:00.502,4,9.507,1:00.853
1,9.369,1:09.852,3,9.313,1:10.020,2,9.421,1:09.923,4,9.338,1:10.191
2,9.480,1:19.332,3,9.375,1:19.395,1,9.137,1:19.060,4,9.481,1:19.672
2,9.610,1:28.942,3,9.799,1:29.195,1,9.657,1:28.717,4,9.743,1:29.415
