Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Justin COPSEY POSITION,Justin COPSEY LAP TIME,Justin COPSEY ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME
1,9.092,9.092,2,9.105,9.105,4,10.457,10.457,3,9.859,9.859
1,13.825,22.916,2,13.852,22.956,3,13.154,23.610,4,13.775,23.634
2,14.444,37.360,1,14.085,37.041,4,14.204,37.814,3,14.170,37.803
2,13.566,50.925,1,13.560,50.600,4,13.631,51.445,3,13.592,51.394
4,14.922,1:05.847,1,13.194,1:03.794,2,13.033,1:04.477,3,13.172,1:04.566
2,10.865,1:16.712,1,12.648,1:16.441,3,12.688,1:17.165,4,12.665,1:17.231
2,12.367,1:29.078,1,12.443,1:28.884,3,12.498,1:29.663,4,12.521,1:29.751
2,12.385,1:41.462,1,12.117,1:41.001,3,12.237,1:41.899,4,12.152,1:41.903
2,11.660,1:53.121,1,11.666,1:52.666,4,11.712,1:53.610,3,11.574,1:53.476
2,10.312,2:03.433,1,10.308,2:02.974,4,10.144,2:03.754,3,10.064,2:03.539
2,9.647,2:13.080,1,9.661,2:12.635,4,9.847,2:13.601,3,9.693,2:13.232
3,9.539,2:22.619,1,9.473,2:22.107,4,10.076,2:23.676,2,9.382,2:22.614
2,9.306,2:31.924,1,9.029,2:31.135,4,10.588,2:34.264,3,9.463,2:32.077
3,10.21,2:42.125,1,10.67,2:41.802,4,11.45,2:45.712,2,9.77,2:41.840
