Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
3,9.40,9.40,1,9.15,9.15,5,9.60,9.60,4,9.51,9.51,2,9.26,9.26,6,9.63,9.63
5,13.80,23.20,1,13.72,22.87,4,13.51,23.11,2,13.49,23.00,3,13.84,23.10,6,13.75,23.38
3,12.58,35.78,1,12.81,35.68,4,12.69,35.80,2,12.74,35.74,6,12.89,35.99,5,12.48,35.86
1,10.50,46.28,2,10.65,46.33,5,10.80,46.60,4,10.70,46.44,6,10.82,46.81,3,10.48,46.34
2,10.14,56.42,3,10.19,56.52,5,10.16,56.76,4,10.19,56.63,6,10.10,56.91,1,10.01,56.35
4,10.51,1:06.93,1,10.28,1:06.80,5,10.27,1:07.03,3,10.26,1:06.89,6,10.22,1:07.13,2,10.52,1:06.87
4,10.32,1:17.25,1,10.25,1:17.05,5,10.33,1:17.36,2,10.17,1:17.06,6,10.33,1:17.46,3,10.30,1:17.17
5,10.34,1:27.59,1,10.30,1:27.35,2,10.01,1:27.37,4,10.40,1:27.46,3,9.97,1:27.43,6,10.42,1:27.59
5,9.51,1:37.10,3,9.59,1:36.94,2,9.49,1:36.86,4,9.54,1:37.00,1,9.40,1:36.83,6,9.66,1:37.25
5,9.58,1:46.68,3,9.50,1:46.44,2,9.58,1:46.44,4,9.59,1:46.59,1,9.45,1:46.28,6,9.55,1:46.80
3,9.50,1:56.18,2,9.57,1:56.01,5,9.85,1:56.29,4,9.59,1:56.18,1,9.62,1:55.90,6,9.59,1:56.39
3,9.26,2:05.44,2,9.41,2:05.42,5,9.49,2:05.78,4,9.52,2:05.70,1,9.43,2:05.33,6,9.63,2:06.02
3,9.57,2:15.01,2,9.54,2:14.96,5,9.44,2:15.22,4,9.49,2:15.19,1,9.41,2:14.74,6,9.96,2:15.98
2,9.68,2:24.689,3,9.74,2:24.692,5,10.02,2:25.238,4,9.84,2:25.025,1,9.60,2:24.334,6,10.23,2:26.207
