Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,You Young CHEA POSITION,You Young CHEA LAP TIME,You Young CHEA ELAPSED TIME,Ilze URTANE POSITION,Ilze URTANE LAP TIME,Ilze URTANE ELAPSED TIME
4,14.45,14.45,3,14.24,14.24,2,14.05,14.05,1,13.96,13.96
4,10.37,24.82,3,10.43,24.67,2,10.51,24.56,1,10.52,24.48
4,10.42,35.24,3,10.38,35.05,2,10.49,35.05,1,10.45,34.93
4,10.03,45.27,1,9.79,44.84,2,10.02,45.07,3,10.26,45.19
3,9.90,55.17,1,10.02,54.86,2,9.89,54.96,4,10.10,55.29
3,10.11,1:05.28,1,10.19,1:05.05,2,10.19,1:05.15,4,10.14,1:05.43
3,10.29,1:15.57,1,10.25,1:15.30,2,10.28,1:15.43,4,10.36,1:15.79
3,10.26,1:25.83,1,10.15,1:25.45,2,10.13,1:25.56,4,10.49,1:26.28
3,10.25,1:36.080,1,10.36,1:35.807,2,10.39,1:35.950,4,10.60,1:36.878
