Anna SAMARINA POSITION,Anna SAMARINA LAP TIME,Anna SAMARINA ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
1,8.35,8.35,3,8.82,8.82,2,8.62,8.62,5,8.93,8.93,4,8.90,8.90
1,11.56,19.91,3,11.31,20.13,2,11.42,20.04,5,11.35,20.28,4,11.32,20.22
1,11.27,31.18,4,11.52,31.65,2,11.31,31.35,3,11.21,31.49,5,11.55,31.77
1,11.17,42.35,4,10.98,42.63,3,11.14,42.49,2,10.88,42.37,5,10.98,42.75
2,11.18,53.53,4,11.13,53.76,3,11.16,53.65,1,11.04,53.41,5,11.07,53.82
2,11.77,1:05.30,4,11.83,1:05.59,3,11.79,1:05.44,1,11.77,1:05.18,5,11.91,1:05.73
2,11.79,1:17.09,4,11.81,1:17.40,3,11.78,1:17.22,1,11.78,1:16.96,5,11.79,1:17.52
2,11.15,1:28.24,4,11.08,1:28.48,3,11.14,1:28.36,1,11.15,1:28.11,5,11.08,1:28.60
2,10.76,1:39.00,4,10.81,1:39.29,3,10.80,1:39.16,1,10.76,1:38.87,5,10.80,1:39.40
3,10.91,1:49.91,4,10.80,1:50.09,2,10.74,1:49.90,1,10.90,1:49.77,5,10.79,1:50.19
5,11.42,2:01.33,3,10.33,2:00.42,1,10.20,2:00.10,2,10.53,2:00.30,4,10.33,2:00.52
5,12.12,2:13.45,2,10.19,2:10.61,1,10.16,2:10.26,3,10.33,2:10.63,4,10.22,2:10.74
5,12.67,2:26.12,1,9.61,2:20.22,2,10.25,2:20.51,4,10.65,2:21.28,3,9.94,2:20.68
5,13.01,2:39.121,1,9.51,2:29.727,2,9.96,2:30.468,4,11.01,2:32.281,3,10.03,2:30.705
