LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,Elizabeth JOHNSON POSITION,Elizabeth JOHNSON LAP TIME,Elizabeth JOHNSON ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME
1,10.44,10.44,5,10.79,10.79,6,10.91,10.91,3,10.64,,2,10.60,10.60,4,10.77,10.77
1,13.50,23.94,6,13.61,24.40,5,13.45,24.36,4,13.64,,2,13.47,24.07,3,13.38,24.15
1,13.43,37.37,5,13.37,37.77,6,13.51,37.87,4,13.40,,2,13.42,37.49,3,13.47,37.62
3,13.20,50.57,5,13.16,50.93,6,13.19,51.06,4,13.03,,1,12.99,50.48,2,12.90,50.52
3,11.89,1:02.46,4,11.54,1:02.47,6,11.63,1:02.69,1,11.54,,5,12.01,1:02.49,2,11.84,1:02.36
4,10.23,1:12.69,3,10.14,1:12.61,6,10.35,1:13.04,1,10.18,,5,10.34,1:12.83,2,10.14,1:12.50
4,10.27,1:22.96,3,10.27,1:22.88,6,10.12,1:23.16,1,10.23,,5,10.24,1:23.07,2,10.25,1:22.75
4,10.44,1:33.40,3,10.39,1:33.27,6,10.54,1:33.70,1,10.37,,5,10.47,1:33.54,2,10.39,1:33.14
4,9.79,1:43.19,3,9.84,1:43.11,6,10.23,1:43.93,2,9.98,,5,9.80,1:43.34,1,9.79,1:42.93
3,9.81,1:53.00,2,9.81,1:52.92,6,10.52,1:54.45,1,9.90,,5,9.79,1:53.13,4,10.08,1:53.01
3,10.05,2:03.05,4,10.16,2:03.08,6,10.89,2:05.34,1,10.05,,2,9.91,2:03.04,5,10.18,2:03.19
1,9.81,2:12.86,5,10.10,2:13.18,6,11.13,2:16.47,3,9.93,,2,9.84,2:12.88,4,9.87,2:13.06
1,9.03,2:21.89,5,9.69,2:22.87,6,11.39,2:27.86,3,9.68,,2,9.48,2:22.36,4,9.71,2:22.77
1,9.24,2:31.13,5,9.84,2:32.71,6,11.39,2:39.25,3,9.72,,2,9.55,2:31.91,4,9.65,2:32.42
