de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,Mirai KITA POSITION,Mirai KITA LAP TIME,Mirai KITA ELAPSED TIME,Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME
2,13.34,13.34,1,13.25,13.25,3,13.56,13.56,5,14.02,14.02,4,13.76,13.76,6,14.43,14.43
1,11.68,25.02,2,12.07,25.32,4,11.96,25.52,5,11.77,25.79,3,11.65,25.41,6,11.40,25.83
1,14.66,39.68,2,14.40,39.72,4,14.50,40.02,5,14.23,40.02,3,14.51,39.92,6,14.40,40.23
2,16.13,55.81,3,16.27,55.99,5,16.36,56.38,1,15.58,55.60,4,16.22,56.14,6,16.29,56.52
2,15.01,1:10.82,3,14.90,1:10.89,5,14.90,1:11.28,1,15.07,1:10.67,4,14.90,1:11.04,6,14.92,1:11.44
2,15.07,1:25.89,3,15.15,1:26.04,5,15.14,1:26.42,1,15.08,1:25.75,4,15.16,1:26.20,6,15.14,1:26.58
3,13.51,1:39.40,4,13.41,1:39.45,5,13.22,1:39.64,2,13.52,1:39.27,1,12.29,1:38.49,6,13.18,1:39.76
3,11.21,1:50.61,4,11.26,1:50.71,5,11.18,1:50.82,2,11.23,1:50.50,1,11.60,1:50.09,6,11.20,1:50.96
1,14.01,2:04.62,3,14.04,2:04.75,5,14.22,2:05.04,2,14.13,2:04.63,4,14.79,2:04.88,6,14.23,2:05.19
1,16.39,2:21.01,3,16.60,2:21.35,5,16.70,2:21.74,2,16.54,2:21.17,4,16.58,2:21.46,6,16.71,2:21.90
2,18.82,2:39.83,3,18.64,2:39.99,5,18.67,2:40.41,1,18.49,2:39.66,4,18.70,2:40.16,6,18.71,2:40.61
3,17.62,2:57.45,4,17.62,2:57.61,5,17.49,2:57.90,2,17.77,2:57.43,1,17.11,2:57.27,6,17.42,2:58.03
2,11.27,3:08.72,4,11.34,3:08.95,5,11.22,3:09.12,3,11.43,3:08.86,1,10.37,3:07.64,6,11.20,3:09.23
2,10.88,3:19.60,4,10.77,3:19.72,5,10.67,3:19.79,3,10.82,3:19.68,1,10.12,3:17.76,6,10.68,3:19.91
4,12.24,3:31.84,3,11.99,3:31.71,5,12.18,3:31.97,2,11.97,3:31.65,1,10.72,3:28.48,6,12.16,3:32.07
4,10.99,3:42.83,2,10.83,3:42.54,5,11.00,3:42.97,3,11.05,3:42.70,1,10.27,3:38.75,6,11.06,3:43.13
2,10.80,3:53.63,6,11.26,3:53.80,5,10.75,3:53.72,4,10.97,3:53.67,1,10.47,3:49.22,3,10.52,3:53.65
3,11.44,4:05.07,6,11.45,4:05.25,5,11.46,4:05.18,4,11.42,4:05.09,1,11.22,4:00.44,2,11.32,4:04.97
4,12.47,4:17.54,6,12.57,4:17.82,5,12.52,4:17.70,2,12.34,4:17.43,1,11.42,4:11.86,3,12.50,4:17.47
3,11.63,4:29.17,6,11.61,4:29.43,4,11.58,4:29.28,5,11.98,4:29.41,1,11.46,4:23.32,2,11.59,4:29.06
3,11.51,4:40.68,6,11.52,4:40.95,4,11.53,4:40.81,5,11.48,4:40.89,1,11.57,4:34.89,2,11.51,4:40.57
3,10.20,4:50.88,6,10.46,4:51.41,4,10.10,4:50.91,5,10.22,4:51.11,1,11.63,4:46.52,2,10.18,4:50.75
4,9.75,5:00.63,6,10.19,5:01.60,2,9.41,5:00.32,5,9.88,5:00.99,1,11.83,4:58.35,3,9.76,5:00.51
4,9.87,5:10.50,6,10.79,5:12.39,1,9.66,5:09.98,5,9.96,5:10.95,3,12.05,5:10.40,2,9.87,5:10.38
3,9.96,5:20.46,6,11.50,5:23.89,1,9.72,5:19.70,4,10.57,5:21.52,5,12.38,5:22.78,2,9.99,5:20.37
3,10.19,5:30.65,6,11.62,5:35.51,1,10.08,5:29.78,4,11.05,5:32.57,5,12.08,5:34.86,2,10.23,5:30.60
3,10.50,5:41.148,6,12.13,5:47.633,1,10.48,5:40.260,4,11.88,5:44.446,5,11.83,5:46.681,2,10.49,5:41.090
