HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
2,13.27,13.27,3,13.35,13.35,4,13.49,13.49,5,13.70,13.70,1,13.15,13.15
2,10.68,23.95,3,10.69,24.04,4,10.56,24.05,5,10.58,24.28,1,10.71,23.86
3,9.82,33.77,4,9.82,33.86,1,9.33,33.38,5,9.76,34.04,2,9.73,33.59
4,9.69,43.46,3,9.49,43.35,1,9.79,43.17,5,9.56,43.60,2,9.66,43.25
4,9.71,53.17,3,9.71,53.06,1,9.70,52.87,5,9.83,53.43,2,9.75,53.00
4,9.62,1:02.79,3,9.63,1:02.69,1,9.65,1:02.52,5,10.08,1:03.51,2,9.61,1:02.61
4,9.49,1:12.28,3,9.50,1:12.19,1,9.49,1:12.01,5,10.63,1:14.14,2,9.49,1:12.10
4,9.42,1:21.70,2,9.44,1:21.63,1,9.55,1:21.56,5,11.28,1:25.42,3,9.57,1:21.67
2,9.89,1:31.586,3,10.02,1:31.648,1,9.75,1:31.308,5,11.87,1:37.287,4,10.43,1:32.100
