Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Ales GORECKI POSITION,Ales GORECKI LAP TIME,Ales GORECKI ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME
2,7.11,7.11,4,7.26,7.26,1,6.86,6.86,5,7.26,7.26,3,7.21,7.21
2,9.43,16.54,5,9.72,16.98,1,9.23,16.09,4,9.48,16.74,3,9.52,16.73
3,9.06,25.60,5,9.17,26.15,1,8.93,25.02,2,8.83,25.57,4,9.17,25.90
3,9.18,34.78,5,9.46,35.61,1,9.16,34.18,2,9.02,34.59,4,9.10,35.00
3,9.36,44.131,5,9.56,45.167,1,9.47,43.644,2,9.17,43.752,4,9.25,44.246
