Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME
2,8.887,8.887,3,9.159,9.159,4,9.176,9.176,1,8.821,8.821,6,9.455,9.455,5,9.374,9.374
2,12.407,21.293,3,12.338,21.497,4,12.347,21.522,1,12.321,21.142,6,12.354,21.809,5,12.412,21.786
2,12.021,33.314,3,11.995,33.491,4,12.058,33.579,1,12.038,33.180,5,12.001,33.809,6,12.024,33.810
4,11.925,45.238,3,11.711,45.202,2,11.540,45.119,1,11.938,45.117,6,11.745,45.554,5,11.653,45.462
3,10.641,55.879,4,10.680,55.881,1,10.418,55.537,2,10.671,55.788,6,10.614,56.167,5,10.623,56.084
3,9.864,1:05.742,1,9.626,1:05.506,2,10.025,1:05.561,4,9.979,1:05.766,5,9.741,1:05.908,6,9.841,1:05.924
3,9.769,1:15.510,1,9.853,1:15.359,2,9.833,1:15.394,5,9.932,1:15.698,6,10.020,1:15.928,4,9.603,1:15.527
4,9.538,1:25.047,1,9.487,1:24.846,3,9.601,1:24.995,5,9.494,1:25.192,6,9.492,1:25.419,2,9.436,1:24.962
2,9.213,1:34.260,1,9.340,1:34.186,3,9.270,1:34.264,5,9.369,1:34.561,6,9.295,1:34.714,4,9.389,1:34.351
2,8.920,1:43.180,1,8.927,1:43.112,4,9.158,1:43.422,5,9.201,1:43.761,6,9.154,1:43.868,3,9.017,1:43.368
1,9.058,1:52.238,2,9.151,1:52.262,4,9.004,1:52.425,5,9.340,1:53.101,6,9.353,1:53.221,3,9.054,1:52.421
2,9.257,2:01.494,1,9.139,2:01.401,4,9.210,2:01.635,5,9.373,2:02.473,6,9.386,2:02.606,3,9.173,2:01.594
4,9.377,2:10.871,1,9.137,2:10.538,3,9.076,2:10.711,5,9.591,2:12.064,6,9.659,2:12.264,2,9.108,2:10.701
4,9.78,2:20.651,1,9.21,2:19.749,3,9.10,2:19.807,5,9.85,2:21.907,6,10.05,2:22.314,2,9.08,2:19.774
