TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME
4,11.88,,3,11.67,11.67,2,11.44,11.44,6,12.31,12.31,1,11.37,11.37,5,12.08,12.08
4,16.50,,3,16.54,28.21,1,16.44,27.88,6,16.52,28.83,2,16.55,27.92,5,16.45,28.53
4,14.78,,3,14.76,42.97,1,14.64,42.52,6,14.62,43.45,2,14.83,42.75,5,14.77,43.30
2,13.13,,4,13.66,56.63,1,13.74,56.26,6,13.47,56.92,3,13.65,56.40,5,13.46,56.76
2,11.82,,4,11.91,1:08.54,1,11.81,1:08.07,6,11.88,1:08.80,3,11.91,1:08.31,5,11.91,1:08.67
2,11.26,,4,11.12,1:19.66,1,11.17,1:19.24,6,11.05,1:19.85,3,11.21,1:19.52,5,11.08,1:19.75
1,10.56,,4,10.84,1:30.50,2,10.91,1:30.15,6,10.85,1:30.70,3,10.82,1:30.34,5,10.85,1:30.60
1,10.74,,4,10.61,1:41.11,2,10.70,1:40.85,6,10.60,1:41.30,3,10.66,1:41.00,5,10.60,1:41.20
1,10.43,,4,10.27,1:51.38,2,10.40,1:51.25,6,10.34,1:51.64,3,10.37,1:51.37,5,10.27,1:51.47
2,9.72,,6,9.88,2:01.26,1,9.45,2:00.70,4,9.43,2:01.07,3,9.59,2:00.96,5,9.62,2:01.09
2,9.53,,6,9.43,2:10.69,1,9.58,2:10.28,5,9.47,2:10.54,3,9.47,2:10.43,4,9.35,2:10.44
3,9.59,,6,9.62,2:20.31,2,9.65,2:19.93,5,9.73,2:20.27,4,9.69,2:20.12,1,9.18,2:19.62
2,9.62,,3,9.54,2:29.85,5,10.11,2:30.04,6,9.87,2:30.14,4,9.80,2:29.92,1,9.43,2:29.05
2,9.56,,2,9.32,2:39.179,5,9.73,2:39.778,4,9.46,2:39.606,3,9.59,2:39.514,1,9.68,2:38.730
