VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME
2,14.73,14.73,1,14.61,14.61,4,14.91,14.91,3,14.83,14.83
2,12.55,27.28,1,12.53,27.14,4,12.61,27.52,3,12.59,27.42
2,11.93,39.21,1,11.96,39.10,4,11.93,39.45,3,11.92,39.34
3,11.24,50.45,1,11.19,50.29,4,11.14,50.59,2,11.10,50.44
3,9.99,1:00.44,1,9.94,1:00.23,4,9.99,1:00.58,2,9.90,1:00.34
3,9.69,1:10.13,1,9.60,1:09.83,4,9.73,1:10.31,2,9.61,1:09.95
2,9.17,1:19.30,1,9.36,1:19.19,4,9.63,1:19.94,3,9.36,1:19.31
4,18.52,1:37.82,1,9.12,1:28.31,3,10.02,1:29.96,2,9.35,1:28.66
4,29.47,2:07.29,1,9.27,1:37.58,3,10.27,1:40.23,2,9.72,1:38.38
