CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME
1,14.19,14.19,2,14.29,14.29,3,14.61,14.61,4,14.71,14.71
1,11.11,25.30,2,11.10,25.39,3,10.96,25.57,4,10.99,25.70
2,10.32,35.62,3,10.31,35.70,1,9.96,35.53,4,10.16,35.86
2,9.96,45.58,4,10.08,45.78,1,9.98,45.51,3,9.82,45.68
2,9.69,55.27,4,9.68,55.46,1,9.66,55.17,3,9.70,55.38
2,9.39,1:04.66,4,9.42,1:04.88,1,9.40,1:04.57,3,9.41,1:04.79
4,9.67,1:14.33,2,9.08,1:13.96,1,9.25,1:13.82,3,9.27,1:14.06
4,9.12,1:23.45,2,9.10,1:23.06,1,8.76,1:22.58,3,9.10,1:23.16
3,9.30,1:32.750,2,9.24,1:32.296,1,9.12,1:31.695,0,,PEN
