Clement FLORAC POSITION,Clement FLORAC LAP TIME,Clement FLORAC ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
3,8.29,8.29,4,8.47,8.47,1,8.05,8.05,5,8.62,8.62,6,8.82,8.82,2,8.27,8.27
3,11.54,19.83,4,11.48,19.95,1,11.48,19.53,5,11.41,20.03,6,11.34,20.16,2,11.41,19.68
4,10.97,30.80,5,11.00,30.95,1,11.03,30.56,2,10.60,30.63,6,10.93,31.09,3,10.98,30.66
1,10.19,40.99,6,10.56,41.51,2,10.54,41.10,4,10.74,41.37,5,10.37,41.46,3,10.59,41.25
1,10.41,51.40,6,10.21,51.72,2,10.38,51.48,4,10.24,51.61,4,10.15,51.61,3,10.32,51.57
2,10.50,1:01.90,4,10.25,1:01.97,1,10.36,1:01.84,5,10.60,1:02.21,6,10.87,1:02.48,3,10.36,1:01.93
4,9.90,1:11.80,1,9.42,1:11.39,2,9.68,1:11.52,5,9.73,1:11.94,6,9.51,1:11.99,3,9.74,1:11.67
5,9.75,1:21.55,1,9.72,1:21.11,2,9.66,1:21.18,6,9.86,1:21.80,3,9.29,1:21.28,4,9.62,1:21.29
5,9.20,1:30.75,1,9.32,1:30.43,2,9.32,1:30.50,6,9.84,1:31.64,3,9.23,1:30.51,4,9.31,1:30.60
5,9.30,1:40.05,2,9.26,1:39.69,3,9.31,1:39.81,6,9.94,1:41.58,1,9.15,1:39.66,4,9.32,1:39.92
5,9.47,1:49.52,2,9.49,1:49.18,3,9.47,1:49.28,6,10.31,1:51.89,1,9.37,1:49.03,4,9.44,1:49.36
5,9.79,1:59.31,2,9.44,1:58.62,3,9.50,1:58.78,6,10.77,2:02.66,1,9.57,1:58.60,4,9.58,1:58.94
5,10.32,2:09.63,1,9.23,2:07.85,2,9.47,2:08.25,6,11.09,2:13.75,3,9.69,2:08.29,4,9.43,2:08.37
5,10.89,2:20.498,1,9.38,2:17.200,3,9.61,2:17.843,6,11.50,2:25.234,4,9.92,2:18.197,2,9.37,2:17.723
