JONG Kwang Bom POSITION,JONG Kwang Bom LAP TIME,JONG Kwang Bom ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME
1,7.02,7.02,2,7.20,7.20,4,7.32,,3,7.28,7.28,5,7.48,
1,9.09,16.11,2,9.14,16.34,5,9.18,,3,9.12,16.40,4,9.01,
1,8.69,24.80,3,8.63,24.97,4,8.52,,2,8.52,24.92,5,8.66,
2,8.77,33.57,5,9.22,34.19,3,8.58,,1,8.55,33.47,4,8.62,
3,9.72,43.290,2,9.08,43.275,3,9.46,,1,8.85,42.32,2,9.20,
