Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Kristina KOBLER POSITION,Kristina KOBLER LAP TIME,Kristina KOBLER ELAPSED TIME,Marina TRETIAKOVA POSITION,Marina TRETIAKOVA LAP TIME,Marina TRETIAKOVA ELAPSED TIME,Daniela VLAEVA POSITION,Daniela VLAEVA LAP TIME,Daniela VLAEVA ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,Evelina RODIGARI POSITION,Evelina RODIGARI LAP TIME,Evelina RODIGARI ELAPSED TIME
3,11.186,11.186,4,11.247,11.247,5,11.271,11.271,6,11.405,11.405,1,10.937,10.937,2,11.111,11.111
3,14.636,25.821,6,14.893,26.139,4,14.732,26.003,5,14.723,26.128,2,14.874,25.811,1,14.540,25.650
5,13.947,39.768,4,13.596,39.734,3,13.644,39.647,6,13.651,39.778,2,13.722,39.533,1,13.826,39.476
5,13.205,52.972,6,13.307,53.040,2,13.020,52.666,4,13.169,52.947,1,13.040,52.573,3,13.256,52.731
1,12.316,1:05.288,6,12.890,1:05.930,3,12.898,1:05.564,5,12.816,1:05.762,2,12.876,1:05.448,4,12.833,1:05.564
1,11.896,1:17.183,5,11.596,1:17.526,3,11.750,1:17.313,6,11.835,1:17.597,4,11.866,1:17.314,2,11.719,1:17.282
2,10.850,1:28.033,4,10.755,1:28.280,5,11.002,1:28.314,6,10.742,1:28.338,3,10.728,1:28.041,1,10.738,1:28.019
3,10.485,1:38.518,5,10.455,1:38.735,2,10.116,1:38.430,6,10.408,1:38.746,1,10.317,1:38.358,4,10.508,1:38.527
2,10.699,1:49.216,5,10.814,1:49.548,3,10.873,1:49.302,6,10.969,1:49.714,1,10.817,1:49.174,4,10.791,1:49.318
1,9.872,1:59.087,5,10.089,1:59.637,3,10.130,1:59.431,6,10.131,1:59.845,2,10.168,1:59.341,4,10.121,1:59.438
1,10.025,2:09.112,5,10.015,2:09.652,3,10.031,2:09.462,6,10.006,2:09.851,2,9.978,2:09.319,4,10.208,2:09.645
1,9.688,2:18.800,5,10.197,2:19.848,3,9.847,2:19.309,6,10.472,2:20.323,2,9.778,2:19.097,4,9.790,2:19.435
1,10.086,2:28.885,5,10.942,2:30.789,2,9.960,2:29.268,6,11.345,2:31.668,4,10.346,2:29.442,3,9.947,2:29.382
1,10.36,2:39.245,5,11.26,2:42.046,3,10.21,2:39.478,6,12.70,2:44.362,2,9.84,2:39.283,4,10.23,2:39.606
