HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,GONG Li POSITION,GONG Li LAP TIME,GONG Li ELAPSED TIME
1,13.39,13.39,4,13.67,13.67,3,13.50,13.50,2,13.46,13.46
2,10.30,23.69,4,10.22,23.89,3,10.30,23.80,1,10.15,23.61
2,10.23,33.92,4,10.23,34.12,3,10.22,34.02,1,10.24,33.85
1,9.88,43.80,4,9.97,44.09,3,9.93,43.95,2,10.09,43.94
1,9.87,53.67,4,9.84,53.93,2,9.82,53.77,3,9.89,53.83
1,9.95,1:03.62,4,9.95,1:03.88,3,9.97,1:03.74,2,9.88,1:03.71
1,9.60,1:13.22,3,9.58,1:13.46,4,9.76,1:13.50,2,9.70,1:13.41
1,9.59,1:22.81,2,9.48,1:22.94,4,9.62,1:23.12,3,9.61,1:23.02
1,,1:32.445,2,,1:32.460,3,9.59,1:32.690,4,10.17,1:33.169
