WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME
1,7.09,7.09,5,7.33,7.33,2,7.18,7.18,4,7.32,7.32,3,7.21,7.21
4,9.37,16.46,5,9.31,16.64,1,9.07,16.25,3,9.13,16.45,2,9.11,16.32
4,8.79,25.25,5,8.64,25.28,2,8.56,24.81,3,8.72,25.17,1,8.35,24.67
5,8.93,34.18,4,8.75,34.03,2,8.61,33.42,3,8.72,33.89,1,8.41,33.08
5,8.88,43.062,4,8.79,42.820,2,8.81,42.23,3,8.84,42.739,1,8.62,41.70
