GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME
2,12.03,12.03,1,11.79,11.79,3,12.17,12.17
2,9.09,21.12,1,9.22,21.01,3,10.07,22.24
1,9.13,30.25,3,9.51,30.52,2,8.20,30.44
1,8.78,39.03,2,8.99,39.51,3,9.12,39.56
1,9.66,48.69,2,9.30,48.81,3,9.52,49.08
1,8.98,57.67,2,9.13,57.94,3,8.89,57.97
1,9.08,1:06.75,2,8.81,1:06.75,3,8.98,1:06.95
1,9.13,1:15.88,2,9.25,1:16.00,3,9.16,1:16.11
2,9.37,1:25.25,1,9.23,1:25.23,3,9.21,1:25.32
1,8.62,1:33.87,2,9.28,1:34.51,3,9.32,1:34.64
1,9.55,1:43.42,2,9.26,1:43.77,3,9.28,1:43.92
2,9.42,1:52.84,1,9.03,1:52.80,3,9.18,1:53.10
1,9.01,2:01.85,2,9.13,2:01.93,3,8.96,2:02.06
1,9.18,2:11.03,2,9.24,2:11.17,3,9.26,2:11.32
1,9.23,2:20.26,2,9.11,2:20.28,3,9.21,2:20.53
2,9.05,2:29.31,1,8.95,2:29.23,3,9.03,2:29.56
1,8.94,2:38.25,2,9.30,2:38.53,3,9.15,2:38.71
1,9.14,2:47.39,2,8.96,2:47.49,3,8.99,2:47.70
1,9.04,2:56.43,2,9.05,2:56.54,3,8.92,2:56.62
1,9.08,3:05.51,2,9.11,3:05.65,3,9.15,3:05.77
1,9.06,3:14.57,3,9.09,3:14.74,2,8.91,3:14.68
1,8.90,3:23.47,2,8.85,3:23.59,3,8.95,3:23.63
1,8.95,3:32.42,2,8.98,3:32.57,3,10.10,3:33.73
1,8.91,3:41.33,2,9.06,3:41.63,3,7.94,3:41.67
3,9.25,3:50.58,1,8.77,3:50.40,2,8.75,3:50.42
3,9.21,3:59.79,1,9.10,3:59.50,2,9.24,3:59.66
3,8.88,4:08.67,1,8.72,4:08.22,2,8.78,4:08.44
3,8.62,4:17.29,2,8.89,4:17.11,1,8.66,4:17.10
3,8.90,4:26.19,2,8.94,4:26.05,1,8.53,4:25.63
3,8.97,4:35.16,2,9.05,4:35.10,1,9.21,4:34.84
3,8.55,4:43.71,1,8.44,4:43.54,2,8.80,4:43.64
3,9.07,4:52.78,2,9.07,4:52.61,1,8.77,4:52.41
3,8.49,5:01.27,2,8.61,5:01.22,1,8.60,5:01.01
1,8.87,5:10.14,2,8.97,5:10.19,3,9.21,5:10.22
3,9.63,5:19.77,2,9.36,5:19.55,1,9.23,5:19.45
3,9.05,5:28.82,2,9.11,5:28.66,1,9.08,5:28.53
3,10.43,5:39.25,2,10.03,5:38.69,1,9.04,5:37.57
3,9.30,5:48.55,2,9.43,5:48.12,1,9.04,5:46.61
3,8.54,5:57.09,2,8.85,5:56.97,1,8.88,5:55.49
3,8.87,6:05.96,2,8.75,6:05.72,1,9.12,6:04.61
2,8.52,6:14.48,3,9.18,6:14.90,1,9.22,6:13.83
2,9.29,6:23.77,3,9.08,6:23.98,1,8.97,6:22.80
2,8.90,6:32.67,3,8.83,6:32.81,1,9.02,6:31.82
2,8.45,6:41.12,3,8.52,6:41.33,1,8.93,6:40.75
3,8.91,6:50.021,2,8.65,6:49.972,1,9.00,6:49.742
