LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
4,9.87,9.87,3,9.66,9.66,1,9.41,9.41,6,10.22,10.22,5,10.06,10.06,2,9.55,9.55,7,10.34,10.34
4,13.41,23.28,3,13.47,23.13,1,13.49,22.90,6,13.36,23.58,5,13.39,23.45,2,13.47,23.02,7,13.37,23.71
5,12.32,35.60,3,12.26,35.39,1,12.24,35.14,7,12.25,35.83,6,12.30,35.75,2,12.22,35.24,4,11.79,35.50
5,11.09,46.69,4,11.17,46.56,2,11.26,46.40,7,11.17,47.00,6,11.13,46.88,3,11.26,46.50,1,10.84,46.34
5,10.65,57.34,4,10.62,57.18,1,10.48,56.88,7,10.62,57.62,6,10.63,57.51,3,10.58,57.08,2,10.65,56.99
1,9.51,1:06.85,6,10.11,1:07.29,3,10.13,1:07.01,7,9.90,1:07.52,2,9.49,1:07.00,5,10.11,1:07.19,4,10.10,1:07.09
2,9.48,1:16.33,6,9.36,1:16.65,3,9.43,1:16.44,7,9.34,1:16.86,1,9.24,1:16.24,5,9.35,1:16.54,4,9.43,1:16.52
3,9.38,1:25.71,5,9.22,1:25.87,4,9.37,1:25.81,7,9.36,1:26.22,2,9.38,1:25.62,1,8.94,1:25.48,6,9.48,1:26.00
3,9.28,1:34.99,4,9.15,1:35.02,5,9.31,1:35.12,7,9.10,1:35.32,2,9.30,1:34.92,1,9.36,1:34.84,6,9.20,1:35.20
3,9.33,1:44.32,4,9.37,1:44.39,5,9.44,1:44.56,7,9.40,1:44.72,1,9.22,1:44.14,2,9.39,1:44.23,6,9.37,1:44.57
3,9.35,1:53.67,4,9.37,1:53.76,6,9.46,1:54.02,7,9.35,1:54.07,1,9.36,1:53.50,2,9.34,1:53.57,5,9.29,1:53.86
1,8.99,2:02.66,4,9.01,2:02.77,6,9.08,2:03.10,7,9.10,2:03.17,3,9.18,2:02.68,2,9.11,2:02.68,5,9.03,2:02.89
1,8.66,2:11.32,2,8.80,2:11.57,6,8.99,2:12.09,7,9.03,2:12.20,5,9.25,2:11.93,3,9.02,2:11.70,4,8.94,2:11.83
1,8.89,2:20.210,2,8.86,2:20.422,7,9.21,2:21.298,6,8.85,2:21.048,5,9.07,2:20.996,3,8.99,2:20.681,4,8.97,2:20.796
