SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME
4,13.30,13.30,3,13.16,13.16,2,13.02,13.02,1,12.89,12.89
4,9.77,23.07,3,9.83,22.99,2,9.90,22.92,1,9.91,22.80
4,9.68,32.75,3,9.64,32.63,2,9.60,32.52,1,9.64,32.44
4,9.89,42.64,3,9.87,42.50,2,9.85,42.37,1,9.86,42.30
4,9.71,52.35,2,9.75,52.25,3,9.89,52.26,1,9.86,52.16
2,9.34,1:01.69,3,9.57,1:01.82,4,9.63,1:01.89,1,9.41,1:01.57
2,9.63,1:11.32,3,9.70,1:11.52,4,9.71,1:11.60,1,9.62,1:11.19
2,10.03,1:21.35,3,9.90,1:21.42,4,9.87,1:21.47,1,10.07,1:21.26
1,9.81,1:31.160,2,9.81,1:31.226,3,10.01,1:31.477,4,10.23,1:31.484
