Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
2,12.99,12.99,4,13.30,13.30,1,12.91,12.91,5,13.52,13.52,3,13.14,13.14
3,10.17,23.17,4,10.04,23.34,1,10.16,23.07,5,10.03,23.55,2,10.02,23.17
2,9.62,32.79,4,9.68,33.02,1,9.67,32.74,5,9.75,33.31,3,9.79,32.97
2,9.87,42.66,4,9.73,42.76,1,9.75,42.49,5,9.79,43.11,3,9.78,42.75
3,9.69,52.36,4,9.84,52.60,1,9.76,52.26,5,9.90,53.02,2,9.57,52.33
3,9.70,1:02.06,4,9.54,1:02.14,1,9.73,1:01.99,5,10.41,1:03.44,2,9.71,1:02.05
1,9.71,1:11.77,3,9.85,1:12.00,2,9.97,1:11.96,5,10.81,1:14.25,4,9.97,1:12.02
1,9.99,1:21.77,4,10.38,1:22.38,3,10.24,1:22.21,5,11.44,1:25.70,2,10.04,1:22.07
1,10.36,1:32.123,5,32.14,1:54.513,3,11.25,1:33.451,4,12.21,1:37.905,2,10.45,1:32.519
