Mikael MESSING POSITION,Mikael MESSING LAP TIME,Mikael MESSING ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Alexander ZHELEZNOV POSITION,Alexander ZHELEZNOV LAP TIME,Alexander ZHELEZNOV ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME
0,8.604,8.604,0,8.625,8.625,0,8.742,8.742,0,8.810,8.810,0,9.088,9.088,0,8.912,8.912
0,12.382,20.986,0,12.476,21.101,0,12.299,21.041,0,12.283,21.093,0,12.251,21.340,0,11.927,20.839
0,11.539,32.525,0,11.317,32.418,0,11.184,32.225,0,11.467,32.560,0,10.909,32.249,0,11.344,32.183
0,10.162,42.687,0,10.356,42.774,0,10.341,42.566,0,10.363,42.923,0,10.206,42.455,0,10.480,42.663
0,11.022,53.709,0,11.202,53.976,0,11.258,53.824,0,11.027,53.950,0,11.023,53.477,0,10.979,53.642
0,11.056,1:04.765,0,11.002,1:04.979,0,10.456,1:04.279,0,10.968,1:04.917,0,11.121,1:04.598,0,11.203,1:04.845
0,10.130,1:14.895,0,10.065,1:15.043,0,10.420,1:14.699,0,10.204,1:15.121,0,10.251,1:14.849,0,10.176,1:15.021
0,10.225,1:25.120,0,10.040,1:25.083,0,10.120,1:24.819,0,9.961,1:25.082,0,10.185,1:25.034,0,9.779,1:24.800
0,9.930,1:35.050,0,9.431,1:34.515,0,10.123,1:34.942,0,9.887,1:34.969,0,9.976,1:35.010,0,9.850,1:34.651
0,10.145,1:45.194,0,9.849,1:44.364,0,9.972,1:44.914,0,9.486,1:44.455,0,10.123,1:45.133,0,10.080,1:44.731
0,10.270,1:55.464,0,9.760,1:54.124,0,10.342,1:55.256,0,9.934,1:54.390,0,10.321,1:55.454,0,10.163,1:54.894
0,10.666,2:06.130,0,9.948,2:04.072,0,10.687,2:05.943,0,10.235,2:04.624,0,10.717,2:06.170,0,10.612,2:05.506
0,10.789,2:16.919,0,10.342,2:14.414,0,11.069,2:17.012,0,10.565,2:15.189,0,11.116,2:17.286,0,21.513,2:27.018
0,,,0,,,0,,,0,,,0,,,0,,
