Atsuko TAKATA POSITION,Atsuko TAKATA LAP TIME,Atsuko TAKATA ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,WANG Wei POSITION,WANG Wei LAP TIME,WANG Wei ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,KO Gi-Hyun POSITION,KO Gi-Hyun LAP TIME,KO Gi-Hyun ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME
1,9.580,9.580,2,9.664,9.664,5,9.935,9.935,3,9.725,9.725,6,9.978,9.978,4,9.801,9.801
3,13.011,22.590,2,12.874,22.538,4,12.870,22.804,1,12.758,22.483,5,12.951,22.929,6,13.333,23.134
2,12.964,35.554,3,13.200,35.738,4,12.963,35.767,1,13.068,35.551,5,13.010,35.939,6,12.890,36.023
5,12.063,47.617,1,11.457,47.195,4,11.707,47.473,3,11.902,47.453,2,11.407,47.345,6,11.895,47.918
5,10.647,58.263,1,10.685,57.879,4,10.718,58.191,3,10.695,58.147,2,10.644,57.989,6,10.577,58.495
5,10.392,1:08.655,3,10.573,1:08.452,1,10.245,1:08.436,2,10.296,1:08.442,4,10.524,1:08.513,6,10.362,1:08.856
5,10.447,1:19.102,2,10.339,1:18.790,1,10.278,1:18.713,4,10.505,1:18.947,3,10.406,1:18.919,6,10.442,1:19.297
5,10.118,1:29.220,2,9.952,1:28.742,1,10.024,1:28.736,3,10.026,1:28.973,4,10.257,1:29.175,6,10.165,1:29.462
4,10.662,1:39.881,1,10.678,1:39.419,2,10.686,1:39.421,3,10.729,1:39.701,6,13.103,1:42.277,5,10.586,1:40.047
4,10.131,1:50.011,3,10.354,1:49.772,1,10.284,1:49.705,5,10.334,1:50.035,2,7.460,1:49.736,6,10.693,1:50.739
5,10.381,2:00.392,1,10.118,1:59.890,2,10.211,1:59.916,4,10.297,2:00.332,3,10.453,2:00.188,6,10.534,2:01.272
5,10.181,2:10.573,2,10.237,2:10.127,1,10.152,2:10.067,6,10.331,2:10.663,3,10.131,2:10.319,4,9.189,2:10.461
5,10.564,2:21.137,2,10.390,2:20.517,1,10.399,2:20.466,4,10.232,2:20.894,3,10.327,2:20.645,6,13.038,2:23.498
5,11.11,2:32.244,3,10.73,2:31.238,1,10.66,2:31.126,4,10.48,2:31.367,2,10.50,2:31.141,6,12.03,2:35.524
