Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
6,11.57,11.57,3,11.22,11.22,2,11.08,11.08,4,11.33,11.33,5,11.41,11.41,1,10.88,10.88
6,14.91,26.48,3,14.96,26.18,2,14.96,26.04,4,14.97,26.30,5,15.05,26.46,1,14.98,25.86
2,11.94,38.42,4,12.42,38.60,3,12.41,38.45,5,12.44,38.74,6,12.40,38.86,1,12.49,38.35
2,11.06,49.48,5,11.14,49.74,4,11.16,49.61,3,10.83,49.57,6,11.04,49.90,1,11.11,49.46
3,10.76,1:00.24,5,10.69,1:00.43,4,10.70,1:00.31,1,10.38,59.95,6,10.69,1:00.59,2,10.66,1:00.12
3,10.70,1:10.94,5,10.74,1:11.17,4,10.70,1:11.01,2,10.95,1:10.90,6,10.82,1:11.41,1,10.69,1:10.81
4,10.55,1:21.49,5,10.44,1:21.61,1,10.02,1:21.03,3,10.49,1:21.39,6,10.40,1:21.81,2,10.46,1:21.27
3,9.95,1:31.44,5,10.02,1:31.63,1,10.26,1:31.29,4,10.08,1:31.47,6,10.12,1:31.93,2,10.05,1:31.32
3,9.66,1:41.10,5,9.69,1:41.32,2,9.70,1:40.99,4,9.74,1:41.21,6,10.60,1:42.53,1,9.58,1:40.90
3,9.76,1:50.86,5,9.77,1:51.09,2,9.73,1:50.72,4,9.79,1:51.00,6,11.16,1:53.69,1,9.73,1:50.63
3,9.42,2:00.28,5,9.50,2:00.59,1,9.18,1:59.90,4,9.44,2:00.44,6,11.76,2:05.45,2,9.47,2:00.10
3,9.12,2:09.40,5,9.14,2:09.73,1,9.04,2:08.94,4,9.21,2:09.65,6,12.35,2:17.80,2,9.04,2:09.14
3,9.18,2:18.58,4,9.15,2:18.88,1,9.12,2:18.06,5,9.45,2:19.10,6,12.93,2:30.73,2,9.02,2:18.16
3,9.41,2:27.99,4,9.40,2:28.28,1,9.30,2:27.36,5,9.79,2:28.89,6,12.42,2:43.15,2,9.30,2:27.46
