John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
2,13.49,13.49,1,13.37,13.37,4,13.80,13.80,3,13.65,13.65
3,10.17,23.66,2,10.20,23.57,4,9.95,23.75,1,9.77,23.42
3,9.64,33.30,1,9.32,32.89,4,9.60,33.35,2,9.69,33.11
3,9.21,42.51,1,9.41,42.30,4,9.27,42.62,2,9.28,42.39
3,9.14,51.65,1,9.16,51.46,4,9.15,51.77,2,9.18,51.57
3,8.99,1:00.64,1,9.08,1:00.54,4,9.02,1:00.79,1,8.97,1:00.54
2,8.71,1:09.35,3,8.97,1:09.51,4,8.74,1:09.53,1,8.73,1:09.27
1,8.84,1:18.19,4,9.62,1:19.13,3,8.88,1:18.41,2,9.02,1:18.29
1,9.18,1:27.37,4,10.44,1:29.528,3,9.16,1:27.526,2,9.18,1:27.47
