SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Mark CHONG POSITION,Mark CHONG LAP TIME,Mark CHONG ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
6,12.31,12.31,1,11.10,11.10,3,11.55,11.55,2,11.33,11.33,4,11.82,11.82,5,12.01,12.01
6,14.59,26.90,1,14.77,25.87,3,14.62,26.17,2,14.66,25.99,4,14.70,26.52,5,14.71,26.72
6,13.05,39.95,1,13.33,39.20,3,13.25,39.42,2,13.35,39.34,4,13.08,39.60,5,13.05,39.77
6,12.90,52.85,1,12.83,52.03,3,12.85,52.27,2,12.82,52.16,4,12.91,52.51,5,12.89,52.66
6,12.42,1:05.27,1,12.63,1:04.66,2,12.47,1:04.74,3,12.59,1:04.75,4,12.46,1:04.97,5,12.46,1:05.12
6,12.09,1:17.36,1,12.02,1:16.68,2,12.05,1:16.79,2,12.04,1:16.79,4,12.11,1:17.08,5,12.12,1:17.24
6,11.38,1:28.74,1,11.52,1:28.20,2,11.54,1:28.33,3,11.57,1:28.36,4,11.33,1:28.41,5,11.35,1:28.59
6,9.95,1:38.69,1,9.84,1:38.04,3,9.87,1:38.20,4,10.06,1:38.42,2,9.68,1:38.09,5,9.94,1:38.53
6,9.39,1:48.08,2,9.59,1:47.63,3,9.57,1:47.77,4,9.48,1:47.90,1,9.50,1:47.59,5,9.42,1:47.95
6,9.46,1:57.54,2,9.40,1:57.03,3,9.44,1:57.21,4,9.41,1:57.31,1,9.29,1:56.88,5,9.46,1:57.41
4,9.14,2:06.68,2,9.37,2:06.40,5,9.51,2:06.72,6,9.51,2:06.82,1,9.44,2:06.32,3,9.06,2:06.47
3,9.00,2:15.68,4,9.43,2:15.83,5,9.69,2:16.41,6,9.76,2:16.58,2,9.34,2:15.66,1,8.90,2:15.37
2,8.95,2:24.63,4,9.56,2:25.39,5,10.08,2:26.49,6,10.01,2:26.59,3,9.34,2:25.00,1,9.08,2:24.45
2,9.26,2:33.89,4,9.65,2:35.020,5,10.21,2:36.694,6,10.21,2:36.786,3,9.53,2:34.53,1,9.29,2:33.74
