Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Karyna HRYSCHANKA POSITION,Karyna HRYSCHANKA LAP TIME,Karyna HRYSCHANKA ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME
2,14.39,14.39,3,14.57,14.57,4,14.78,14.78,1,14.31,14.31
2,10.79,25.18,3,10.80,25.37,4,10.80,25.58,1,10.76,25.07
2,10.13,35.31,3,9.96,35.33,4,10.50,36.08,1,10.15,35.22
3,9.70,45.01,2,9.57,44.90,4,10.78,46.86,1,9.60,44.82
3,9.70,54.71,2,9.66,54.56,4,11.51,58.37,1,9.64,54.46
3,9.55,1:04.26,2,9.55,1:04.11,4,11.97,1:10.34,1,9.56,1:04.02
3,9.56,1:13.82,2,9.60,1:13.71,4,13.22,1:23.56,1,9.52,1:13.54
3,9.71,1:23.53,2,9.65,1:23.36,4,12.98,1:36.54,1,9.72,1:23.26
3,9.97,1:33.499,2,9.96,1:33.320,4,12.83,1:49.369,1,9.96,1:33.218
