BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME
2,13.05,13.05,5,13.52,13.52,3,13.20,13.20,4,13.40,13.40,1,12.90,12.90
2,10.50,23.55,5,10.33,23.85,3,10.44,23.64,4,10.34,23.74,1,10.55,23.45
2,10.00,33.55,5,10.09,33.94,4,10.16,33.80,1,9.72,33.46,3,10.25,33.70
1,9.37,42.92,5,9.48,43.42,4,9.46,43.26,2,9.61,43.07,3,9.47,43.17
1,9.45,52.37,5,9.43,52.85,4,9.40,52.66,2,9.39,52.46,3,9.40,52.57
1,9.33,1:01.70,5,9.72,1:02.57,4,9.34,1:02.00,2,9.35,1:01.81,3,9.33,1:01.90
1,9.18,1:10.88,5,9.96,1:12.53,4,9.17,1:11.17,2,9.17,1:10.98,3,9.16,1:11.06
1,9.02,1:19.90,5,10.29,1:22.82,4,9.17,1:20.34,2,9.00,1:19.98,3,9.05,1:20.11
2,9.32,1:29.213,5,10.57,1:33.389,4,9.26,1:29.597,1,9.08,1:29.051,3,9.14,1:29.246
