Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME
3,10.54,10.54,2,10.37,10.37,1,10.21,10.21,4,10.66,10.66,6,10.82,10.82,5,10.70,10.70,7,11.09,11.09
4,14.31,24.85,3,14.31,24.68,2,14.38,24.59,6,14.34,25.00,7,14.41,25.23,1,13.70,24.40,5,13.83,24.92
5,12.30,37.15,4,12.29,36.97,1,12.17,36.76,6,12.27,37.27,7,12.24,37.47,2,12.38,36.78,3,11.93,36.85
5,11.13,48.28,3,11.23,48.20,1,11.26,48.02,6,11.11,48.38,7,11.11,48.58,2,11.35,48.13,4,11.37,48.22
5,10.82,59.10,1,10.45,58.65,2,10.77,58.79,6,10.83,59.21,7,10.80,59.38,3,10.75,58.88,4,10.78,59.00
5,10.87,1:09.97,2,10.98,1:09.63,1,10.82,1:09.61,6,10.89,1:10.10,7,10.87,1:10.25,3,10.89,1:09.77,4,10.84,1:09.84
5,10.31,1:20.28,2,10.53,1:20.16,1,10.47,1:20.08,6,10.32,1:20.42,7,10.39,1:20.64,4,10.50,1:20.27,3,10.33,1:20.17
5,10.19,1:30.47,3,10.08,1:30.24,2,10.14,1:30.22,4,9.95,1:30.37,7,10.01,1:30.65,6,10.24,1:30.51,1,10.04,1:30.21
5,10.08,1:40.55,3,10.09,1:40.33,1,9.88,1:40.10,4,10.05,1:40.42,7,10.03,1:40.68,6,10.16,1:40.67,2,10.02,1:40.23
5,10.11,1:50.66,2,10.04,1:50.37,1,10.11,1:50.21,4,10.14,1:50.56,6,10.07,1:50.75,7,10.21,1:50.88,3,10.25,1:50.48
5,9.78,2:00.44,2,9.79,2:00.16,1,9.83,2:00.04,4,9.79,2:00.35,6,9.83,2:00.58,7,9.98,2:00.86,3,9.78,2:00.26
5,9.61,2:10.05,2,9.61,2:09.77,1,9.65,2:09.69,4,9.59,2:09.94,6,9.57,2:10.15,7,9.69,2:10.55,3,9.61,2:09.87
4,9.57,2:19.62,2,9.59,2:19.36,1,9.57,2:19.26,3,9.52,2:19.46,6,9.60,2:19.75,7,9.81,2:20.36,5,9.86,2:19.73
4,9.56,2:29.177,3,9.72,2:29.075,1,9.70,2:28.952,2,9.58,2:29.041,5,9.49,2:29.240,7,10.10,2:30.456,6,9.83,2:29.558
