Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Lenka ZAHUMENSKA POSITION,Lenka ZAHUMENSKA LAP TIME,Lenka ZAHUMENSKA ELAPSED TIME
2,14.49,14.49,3,14.59,14.59,1,14.40,14.40,4,14.70,14.70
2,11.17,25.66,3,11.24,25.83,1,11.25,25.65,4,11.28,25.98
1,10.38,36.04,3,10.38,36.21,2,10.39,36.04,4,10.34,36.32
2,10.58,46.62,3,10.53,46.74,1,10.50,46.54,4,10.50,46.82
2,10.40,57.02,3,10.40,57.14,1,10.42,56.96,4,10.44,57.26
1,10.09,1:07.11,3,10.29,1:07.43,2,10.36,1:07.32,4,10.29,1:07.55
1,9.90,1:17.01,2,9.82,1:17.25,4,10.49,1:17.81,3,10.11,1:17.66
1,9.82,1:26.83,2,9.76,1:27.01,4,11.06,1:28.87,3,10.28,1:27.94
1,10.02,1:36.842,2,9.94,1:36.942,4,12.74,1:41.602,3,10.63,1:38.568
