Miwako YAMAURA POSITION,Miwako YAMAURA LAP TIME,Miwako YAMAURA ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME
3,14.78,14.78,1,14.53,14.53,2,14.66,14.66
3,10.98,25.76,1,10.97,25.50,2,10.98,25.64
3,10.62,36.38,1,10.71,36.21,2,10.65,36.29
3,10.49,46.87,1,10.41,46.62,2,10.45,46.74
3,9.87,56.74,1,9.94,56.56,2,9.87,56.61
3,9.56,1:06.30,2,9.65,1:06.21,1,9.44,1:06.05
3,10.04,1:16.34,2,10.06,1:16.27,1,9.50,1:15.55
3,10.66,1:27.00,2,10.20,1:26.47,1,9.75,1:25.30
3,10.55,1:37.55,2,10.64,1:37.11,1,9.98,1:35.28
