Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
3,13.56,13.56,2,13.51,13.51,1,13.49,13.49,4,13.62,13.62
2,10.88,24.44,3,10.94,24.45,1,10.81,24.30,4,10.87,24.49
3,10.86,35.30,1,10.71,35.16,2,10.95,35.25,4,11.01,35.50
3,10.38,45.68,1,10.18,45.34,2,10.40,45.65,4,10.36,45.86
2,9.93,55.61,1,10.15,55.49,3,9.98,55.63,4,9.96,55.82
3,9.85,1:05.46,1,9.86,1:05.35,2,9.83,1:05.46,4,9.91,1:05.73
3,9.76,1:15.22,2,9.82,1:15.17,1,9.69,1:15.15,4,9.83,1:15.56
3,9.98,1:25.20,1,9.63,1:24.80,2,9.73,1:24.88,4,9.71,1:25.27
4,10.73,1:35.924,1,9.93,1:34.725,2,9.86,1:34.735,3,9.98,1:35.243
