AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
4,13.360,13.360,1,13.052,13.052,3,13.181,13.181,2,13.076,13.076
4,10.213,23.573,3,10.284,23.335,2,10.065,23.245,1,9.755,22.830
4,9.555,33.127,3,9.777,33.111,2,9.549,32.794,1,9.679,32.508
3,9.800,42.927,4,9.971,43.082,2,10.080,42.873,1,10.160,42.668
2,9.591,52.518,4,9.566,52.647,3,9.715,52.588,1,9.482,52.149
3,9.421,1:01.939,4,9.634,1:02.281,1,9.025,1:01.613,2,9.596,1:01.745
2,9.372,1:11.310,4,9.657,1:11.937,1,9.637,1:11.250,3,9.607,1:11.351
1,9.514,1:20.824,3,8.954,1:20.890,4,9.803,1:21.052,2,9.526,1:20.876
1,9.88,1:30.695,2,10.00,1:30.885,4,10.07,1:31.117,3,10.14,1:31.011
