Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
1,8.610,8.610,3,8.870,8.870,4,8.870,8.870,2,8.730,8.730,6,9.340,9.340,5,9.000,9.000
2,12.120,20.740,1,11.760,20.630,4,12.230,21.100,3,12.140,20.880,6,12.040,21.380,5,12.160,21.170
2,11.490,32.230,1,11.510,32.140,5,11.420,32.530,3,11.480,32.360,6,11.600,32.980,4,11.300,32.470
2,11.930,44.170,1,11.920,44.070,4,11.780,44.310,3,11.870,44.240,6,11.630,44.610,5,11.890,44.360
1,11.660,55.840,2,11.800,55.870,3,11.810,56.130,4,11.920,56.160,6,11.980,56.590,5,11.870,56.240
3,10.680,1:06.520,2,10.540,1:06.410,5,10.660,1:06.790,4,10.440,1:06.600,6,10.390,1:06.990,1,10.140,1:06.380
2,9.930,1:16.460,3,10.060,1:16.480,5,10.010,1:16.800,4,10.040,1:16.640,6,10.040,1:17.040,1,9.990,1:16.370
3,10.440,1:26.900,1,10.280,1:26.760,5,10.400,1:27.200,4,10.420,1:27.060,6,10.330,1:27.370,2,10.500,1:26.870
3,10.570,1:37.480,1,10.460,1:37.220,5,10.490,1:37.700,4,10.560,1:37.630,6,10.490,1:37.870,2,10.500,1:37.380
3,10.370,1:47.850,2,10.410,1:47.640,4,10.150,1:47.860,5,10.250,1:47.880,6,10.330,1:48.200,1,10.150,1:47.530
5,10.310,1:58.170,3,10.370,1:58.010,2,9.980,1:57.850,4,10.120,1:58.010,6,10.170,1:58.370,1,10.190,1:57.730
2,9.990,2:08.160,1,9.480,2:07.490,3,10.400,2:08.250,4,10.390,2:08.400,5,10.060,2:08.430,6,27.080,2:24.810
2,9.730,2:17.890,1,10.370,2:17.870,3,9.910,2:18.160,5,9.970,2:18.380,4,9.810,2:18.250,6,24.710,2:49.520
2,9.970,2:27.870,1,9.720,2:27.590,4,10.090,2:28.260,5,9.970,2:28.360,3,9.850,2:28.110,6,21.410,3:10.940
