DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,WANG Xiran POSITION,WANG Xiran LAP TIME,WANG Xiran ELAPSED TIME
2,7.68,7.68,1,7.47,7.47,3,8.03,8.03,4,8.15,8.15
2,9.67,17.35,1,9.62,17.09,3,9.58,17.61,4,9.54,17.69
3,9.19,26.54,1,9.05,26.14,4,8.98,26.59,2,8.82,26.51
4,9.61,36.15,1,9.10,35.24,3,9.31,35.90,2,8.97,35.48
4,9.79,45.94,1,9.38,44.62,3,9.31,45.21,2,9.19,44.67
