Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME
4,9.30,9.30,3,9.17,9.17,2,9.04,9.04,1,9.03,9.03,5,9.44,9.44,6,9.64,9.64
4,12.57,21.87,1,12.32,21.49,3,12.69,21.73,2,12.52,21.55,5,12.54,21.98,6,12.52,22.16
4,11.92,33.79,2,12.00,33.49,1,11.63,33.36,3,12.09,33.64,5,11.85,33.83,6,11.91,34.07
4,11.17,44.96,3,11.43,44.92,2,11.46,44.82,1,11.05,44.69,5,11.23,45.06,6,11.08,45.15
1,10.24,55.20,4,10.65,55.57,5,10.90,55.72,2,10.62,55.31,6,10.72,55.78,3,10.36,55.51
2,10.01,1:05.21,4,9.79,1:05.36,5,9.84,1:05.56,3,9.96,1:05.27,6,9.86,1:05.64,1,9.59,1:05.10
2,9.54,1:14.75,4,9.59,1:14.95,5,9.60,1:15.16,3,9.58,1:14.85,6,9.61,1:15.25,1,9.56,1:14.66
2,9.85,1:24.60,4,9.86,1:24.81,5,9.79,1:24.95,3,9.87,1:24.72,6,9.78,1:25.03,1,9.82,1:24.48
2,9.83,1:34.43,4,9.84,1:34.65,5,9.90,1:34.85,3,9.82,1:34.54,6,9.94,1:34.97,1,9.85,1:34.33
2,9.87,1:44.30,3,9.80,1:44.45,5,9.80,1:44.65,4,9.93,1:44.47,6,9.74,1:44.71,1,9.83,1:44.16
2,9.69,1:53.99,3,9.67,1:54.12,4,9.71,1:54.36,6,9.98,1:54.45,5,9.73,1:54.44,1,9.72,1:53.88
2,9.61,2:03.60,3,9.61,2:03.73,4,9.51,2:03.87,6,9.75,2:04.20,5,9.75,2:04.19,1,9.61,2:03.49
2,9.55,2:13.15,3,9.50,2:13.23,4,9.38,2:13.25,5,9.67,2:13.87,6,10.07,2:14.26,1,9.54,2:13.03
3,9.53,2:22.675,4,9.62,2:22.844,2,9.38,2:22.627,5,10.25,2:24.119,6,10.54,2:24.796,1,9.53,2:22.554
