SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME
4,14.56,,3,14.45,14.45,5,14.64,14.64,2,14.26,14.26,1,14.24,14.24
3,10.30,,4,10.42,24.87,5,10.42,25.06,2,10.43,24.69,1,10.44,24.68
4,10.19,,3,10.13,35.00,5,10.14,35.20,1,10.10,34.79,2,10.24,34.92
3,9.54,,1,9.29,44.29,5,9.60,44.80,3,9.80,44.59,2,9.47,44.39
3,9.47,,1,9.55,53.84,5,9.41,54.21,4,9.58,54.17,2,9.57,53.96
3,9.44,,1,9.46,1:03.30,5,9.55,1:03.76,4,9.45,1:03.62,2,9.45,1:03.41
3,9.53,,1,9.53,1:12.83,5,9.42,1:13.18,4,9.42,1:13.04,2,9.51,1:12.92
5,11.99,,2,9.31,1:22.14,3,9.71,1:22.89,4,10.63,1:23.67,1,9.10,1:22.02
5,12.15,,2,9.25,1:31.39,3,9.21,1:32.106,4,10.51,1:34.189,1,9.17,1:31.19
