BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Koen SLOOTWEG POSITION,Koen SLOOTWEG LAP TIME,Koen SLOOTWEG ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Bejamin WHITESIDE POSITION,Bejamin WHITESIDE LAP TIME,Bejamin WHITESIDE ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
3,8.09,8.09,5,8.42,8.42,1,7.58,7.58,2,7.74,7.74,4,8.27,,8,8.86,8.86,6,8.60,8.60,7,8.74,8.74
3,10.18,18.27,5,10.10,18.52,1,10.45,18.03,2,10.39,18.13,4,10.16,,8,10.22,19.08,6,10.05,18.65,7,10.00,18.74
3,9.70,27.97,5,9.70,28.22,1,9.69,27.72,2,9.68,27.81,4,9.69,,8,9.72,28.80,6,9.71,28.36,7,9.77,28.51
3,9.52,37.49,4,9.35,37.57,1,9.51,37.23,2,9.55,37.36,5,9.46,,8,9.60,38.40,6,9.41,37.77,7,9.37,37.88
3,9.45,46.94,4,9.47,47.04,1,9.50,46.73,2,9.48,46.84,5,9.59,,8,9.52,47.92,6,9.55,47.32,7,9.55,47.43
4,9.45,56.39,3,9.30,56.34,1,9.47,56.20,2,9.41,56.25,5,9.38,,8,9.62,57.54,6,9.35,56.67,7,9.53,56.96
4,9.44,1:05.83,1,9.22,1:05.56,2,9.49,1:05.69,2,9.44,1:05.69,5,9.41,,8,9.98,1:07.52,6,9.39,1:06.06,7,9.69,1:06.65
3,9.40,1:15.23,1,9.52,1:15.08,5,9.67,1:15.36,2,9.47,1:15.16,4,9.39,,8,10.24,1:17.76,6,9.44,1:15.50,7,10.09,1:16.74
3,9.73,1:24.96,1,9.70,1:24.78,5,9.84,1:25.20,2,9.71,1:24.87,4,9.70,,8,10.67,1:28.43,6,9.78,1:25.28,7,10.55,1:27.29
3,9.75,1:34.71,1,9.74,1:34.52,6,10.01,1:35.21,2,9.74,1:34.61,4,9.78,,8,11.01,1:39.44,5,9.90,1:35.18,7,10.96,1:38.25
2,9.39,1:44.10,1,9.43,1:43.95,6,10.24,1:45.45,2,9.49,1:44.10,4,9.53,,8,11.32,1:50.76,5,9.46,1:44.64,7,11.38,1:49.63
2,9.38,1:53.48,1,9.42,1:53.37,6,10.60,1:56.05,3,9.54,1:53.64,4,9.48,,8,12.14,2:02.90,5,9.43,1:54.07,7,11.81,2:01.44
2,9.54,2:03.02,1,9.54,2:02.91,6,10.97,2:07.02,3,9.64,2:03.28,4,9.53,,8,11.85,2:14.75,5,9.49,2:03.56,7,12.69,2:14.13
2,9.76,2:12.78,1,9.77,2:12.68,6,11.08,2:18.10,0,,PHOTO,5,10.00,,7,11.01,2:25.76,0,,PHOTO,8,11.66,2:25.79
